Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Scott Agness,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)",2018
Marv Albert,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Smart, Marcus (BOS)","Siakam, Pascal (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Green, Danny (TOR)","Bledsoe, Eric (MIL)",2018
Sam Amick,The Athletic,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Bledsoe, Eric (MIL)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Smart, Marcus (BOS)",2018
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Siakam, Pascal (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Holiday, Jrue (NOP)",2018
Greg Anthony,Turner Sports,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Beverley, Patrick (LAC)","Tucker, PJ (HOU)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (HOU)",2018
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Turner, Myles (IND)","Bledsoe, Eric (MIL)","Green, Danny (TOR)",2018
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Beverley, Patrick (LAC)",2018
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Butler, Jimmy (PHI)","Thompson, Klay (GSW)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Paul, Chris (HOU)",2018
Michelle Beadle,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Bledsoe, Eric (MIL)",2018
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Siakam, Pascal (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)",2018
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Tucker, PJ (HOU)","Turner, Myles (IND)","Green, Danny (TOR)","Bledsoe, Eric (MIL)",2018
A. Blakely,NBC Sports Boston,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)","Turner, Myles (IND)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Bledsoe, Eric (MIL)",2018
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Smart, Marcus (BOS)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lowry, Kyle (TOR)","Bledsoe, Eric (MIL)",2018
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Millsap, Paul (DEN)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Bledsoe, Eric (MIL)","Thompson, Klay (GSW)",2018
Mike Breen,ESPN,"George, Paul (OKC)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Thompson, Klay (GSW)",2018
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Covington, Robert (MIN)","Embiid, Joel (PHI)","White, Derrick (SAS)","Beverley, Patrick (LAC)",2018
Ric Bucher,Bleacher Report,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Thompson, Klay (GSW)",2018
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Leonard, Kawhi (TOR)","Millsap, Paul (DEN)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","White, Derrick (SAS)",2018
Dave Campbell,Associated Press,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Holiday, Jrue (NOP)","Durant, Kevin (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Rubio, Ricky (UTA)",2018
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)","Turner, Myles (IND)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Green, Danny (TOR)","Beverley, Patrick (LAC)",2018
David Cobb,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Bledsoe, Eric (MIL)",2018
Sean Deveney,The Sporting News,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Green, Danny (TOR)","Turner, Myles (IND)","Favors, Derrick (UTA)","Embiid, Joel (PHI)","Richardson, Josh (MIA)","Bledsoe, Eric (MIL)",2018
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Embiid, Joel (PHI)","Horford, Al (BOS)","Turner, Myles (IND)","Thompson, Klay (GSW)","Beverley, Patrick (LAC)",2018
Paul Flannery,SB Nation,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Green, Danny (TOR)","Bledsoe, Eric (MIL)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)",2018
Reid Forgrave,CBSSports.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Turner, Myles (IND)","Thompson, Klay (GSW)","Green, Danny (TOR)",2018
Joe Freeman,The Oregonian,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Turner, Myles (IND)","Green, Danny (TOR)","Holiday, Jrue (NOP)",2018
Rosalyn Gold‐Onwude,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Holiday, Jrue (NOP)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Smart, Marcus (BOS)",2018
Vince Goodwill,Yahoo! Sports,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Leonard, Kawhi (TOR)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Simmons, Ben (PHI)",2018
Michael Grange,Rogers Sportsnet,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Turner, Myles (IND)","Thompson, Klay (GSW)","Bledsoe, Eric (MIL)",2018
Jared Greenberg,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Green, Danny (TOR)","Turner, Myles (IND)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Beverley, Patrick (LAC)",2018
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Beverley, Patrick (LAC)","Tucker, PJ (HOU)","Leonard, Kawhi (TOR)","Turner, Myles (IND)","Smart, Marcus (BOS)","White, Derrick (SAS)",2018
Kevin Harlan,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Green, Danny (TOR)","Green, Draymond (GSW)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Beverley, Patrick (LAC)","Smart, Marcus (BOS)",2018
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)","Siakam, Pascal (TOR)","Tucker, PJ (HOU)","Turner, Myles (IND)","Holiday, Jrue (NOP)","Beverley, Patrick (LAC)",2018
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Thompson, Klay (GSW)","Green, Draymond (GSW)","Tucker, PJ (HOU)","Turner, Myles (IND)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2018
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Green, Draymond (GSW)","Millsap, Paul (DEN)","Embiid, Joel (PHI)","Green, Danny (TOR)","Thompson, Klay (GSW)",2018
Erik Horne,The Oklahoman,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Green, Danny (TOR)","Bledsoe, Eric (MIL)",2018
