Voter,Affiliation,1st,2nd,3rd,Year
Scott Agness,The Athletic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Vucevic, Nikola (ORL)",2018
Marv Albert,Turner Sports,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018
Sam Amick,The Athletic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018
Jason Anderson,Sacramento Bee,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018
Greg Anthony,Turner Sports,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Harrell, Montrezl (LAC)",2018
Kevin Arnovitz,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Bogdanovic, Bojan (IND)",2018
Steve Aschburner,NBA.com,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Hield, Buddy (SAC)",2018
Jon Barry,ESPN,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018
Michelle Beadle,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Sabonis, Domantas (IND)",2018
Rod Beard,Detroit News,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018
Howard Beck,Bleacher Report,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018
A. Blakely,NBC Sports Boston,"Siakam, Pascal (TOR)","Hield, Buddy (SAC)","Russell, D'Angelo (BKN)",2018
Stefan Bondy,New York Daily News,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018
Tim Bontemps,ESPN,"Siakam, Pascal (TOR)","Antetokounmpo, Giannis (MIL)","Vucevic, Nikola (ORL)",2018
Mike Breen,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Hield, Buddy (SAC)",2018
Chris Broussard,Fox Sports,"Siakam, Pascal (TOR)","Harrell, Montrezl (LAC)","Fox, De'Aaron (SAC)",2018
