Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Alan Horton,WCCO 830-AM,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Andre Aldridge,Fox Sports South,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Anthony Slater,The Oklahoman,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Antonio Harvey,Fox Sports Radio/620AM,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Bill Land,Fox Sports Southwest,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,DPOY
Bill Oram,Orange County Register,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Bill Reiter,CBSSports.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Bill Schoening,WOAI Radio,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2015,DPOY
Bill Simmons,Bill Simmons Podcast/HBO,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Millsap, Paul -- ATL",2015,DPOY
Bill Worrell,Root Sports Southwest,"Green, Draymond -- GS","Davis, Anthony -- NOP","Ariza, Trevor -- HOU",2015,DPOY
Bob Fitzgerald,Comcast SportsNet Bay Area,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bradley, Avery -- BOS",2015,DPOY
Bob Rathbun,Fox Sports South,"Leonard, Kawhi -- SA","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC",2015,DPOY
Brian Mahoney,Associated Press,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Brian Scalabrine,Comcast SportsNet New England,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bradley, Avery -- BOS",2015,DPOY
Brian Sieman,The Beast 980,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Brian Windhorst,ESPN.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2015,DPOY
Candace Buckner,Indianapolis Star,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,DPOY
Cedric Maxwell,98.5 The Sports Hub,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Bradley, Avery -- BOS",2015,DPOY
Charles Gardner,Milwaukee Journal Sentinel,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA",2015,DPOY
Chris Broussard,ESPN,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Chris Carrino,WFAN (660),"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Chris Dempsey,Denver Post,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Chris Denari,Fox Sports Indiana,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Chris Sheridan,Sheridanhoops.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Chuck Swirsky,ESPN AM 1000,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Dan Woike,Orange County Register,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2015,DPOY
Dave Johnson,106.7 The Fan,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2015,DPOY
Dave McMenamin,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
David Aldridge,TNT,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2015,DPOY
David Mayo,Mlive Media Group,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
David Wesley,Fox Sports New Orleans,"Whiteside, Hassan -- MIA","Leonard, Kawhi -- SA","Butler, Jimmy -- CHI",2015,DPOY
Dennis Neumann,ESPN 580 AM,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Diamond Leung,Bay Area News Group,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bradley, Avery -- BOS",2015,DPOY
Doris Burke,ESPN,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Millsap, Paul -- ATL",2015,DPOY
Doug Smith,The Toronto Star,"Leonard, Kawhi -- SA","Drummond, Andre -- DET","Bradley, Avery -- BOS",2015,DPOY
Dwain Price,Ft. Worth Star Telegam,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Jordan, DeAndre -- LAC",2015,DPOY
Eddie Johnson,Fox Sports Arizona,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,DPOY
Eddie Sefko,Dallas Morning News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Lowry, Kyle -- TOR",2015,DPOY
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"Green, Draymond -- GS","Whiteside, Hassan -- MIA","Leonard, Kawhi -- SA",2015,DPOY
Eric Reid,Fox Sports Sun,"Whiteside, Hassan -- MIA","Green, Draymond -- GS","Leonard, Kawhi -- SA",2015,DPOY
Ernie Johnson,TNT,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bradley, Avery -- BOS",2015,DPOY
Ethan Skolnick,Miami Herald,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Fran Blinebury,NBA.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2015,DPOY
Frank Isola,Sirius Radio/New York Daily News,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,DPOY
Gary Gerould,Comcast SportsNet-CA,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Gary Washburn,Boston Globe,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bradley, Avery -- BOS",2015,DPOY
Grant Napear,Comcast SportsNet-CA,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2015,DPOY
Howard Beck,Bleacher Report,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Millsap, Paul -- ATL",2015,DPOY
Hubie Brown,ESPN,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2015,DPOY
Ian Eagle,YES Network,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Israel Guttierez,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
JA Adande,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Jack Armstrong,SportsNet/TSN,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Davis, Anthony -- NOP",2015,DPOY
Jason Jackson,Fox Sports Sun,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,DPOY
Jason Jones,Sacramento Bee,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bradley, Avery -- BOS",2015,DPOY
Jason Kosmicki,Altitude Radio Network,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Jason Lloyd,Akron Beacon Journal,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2015,DPOY
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Millsap, Paul -- ATL",2015,DPOY
Jeff Turner,Fox Sports Florida,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2015,DPOY
Jeff Zillgitt,USA Today,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2015,DPOY
Jerry Zgoda,Minneapolis Star Tribune,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,DPOY
Jessica Camerato,Comcast SportsNet,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA",2015,DPOY
Jim Paschke,Fox Sports Wisconsin,"Leonard, Kawhi -- SA","Green, Draymond -- GS","James, LeBron -- CLE",2015,DPOY
Jim Petersen,Fox Sports North,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,DPOY
Jim Spanarkel,YES Network,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","James, LeBron -- CLE",2015,DPOY
Jody Genessy,Deseret News,"Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,DPOY
Joe Cowley,Chicago Sun-Times,"Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,DPOY
Joe Freeman,The Oregonian,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,DPOY
