Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2015,COY
Adrian Chavarria,KEYH 850 AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2015,COY
Al Iannazzone,Newsday,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2015,COY
Alan Horton,WCCO 830-AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2015,COY
Andre Aldridge,Fox Sports South,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2015,COY
Andy Vasquez,Bergen Record,"Popovich, Gregg -- San Antonio","Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta",2015,COY
Anthony Slater,Oklahoman,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2015,COY
Antonio Harvey,Fox Sports Radio/620AM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2015,COY
Bill Land,Fox Sports Southwest,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2015,COY
Bill Oram,Orange County Register,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2015,COY
Bill Reiter,Foxsports.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2015,COY
Bill Schoening,WOAI Radio,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Thibodeau, Tom -- Chicago",2015,COY
Bill Simmons,Grantland,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2015,COY
Bob Rathbun,Fox Sports South,"Budenholzer, Mike -- Atlanta","Snyder, Quin -- Utah","Kerr, Steve -- Golden State",2015,COY
Brian Davis,Fox Sports Oklahoma,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2015,COY
Brian Sieman,The Beast 980 AM FM,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2015,COY
Brian Windhorst,ESPN.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2015,COY
Candace Buckner,Indianapolis Star,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2015,COY
Cedric Maxwell,WEEI Radio,"Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston","Kerr, Steve -- Golden State",2015,COY
Charles Gardner,Milwaukee Journal Sentinel,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2015,COY
Chris Broussard,ESPN The Magazine,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2015,COY
Chris Carrino,WFAN (660),"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2015,COY
Chris Dempsey,Denver Post,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2015,COY
Chris Denari,Fox Sports Indiana,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2015,COY
Chris Mannix,Sports Illustrated,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2015,COY
Chris Marlowe,Altitude Sports & Entertainment,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2015,COY
