Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Dante Marchitelli,Fox Sports Florida,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Aldridge, LaMarcus -- SA","Lillard, Damian -- POR","Paul, Chris -- LAC","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2015
Dave Johnson,106.7 The Fan,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Lillard, Damian -- POR","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Harden, James -- HOU","Lowry, Kyle -- TOR",2015
Dave McMenamin,ESPN.com,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Horford, Al -- ATL","Lowry, Kyle -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Aldridge, LaMarcus -- SA","Nowitzki, Dirk -- DAL","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
David Aldridge,TNT,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Paul, Chris -- LAC","Thompson, Klay -- GS","Millsap, Paul -- ATL","Davis, Anthony -- NOP","Duncan, Tim -- SA","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2015
David Mayo,Mlive Media Group,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Jordan, DeAndre -- LAC","Lillard, Damian -- POR","Harden, James -- HOU","Davis, Anthony -- NOP","Green, Draymond -- GS","Drummond, Andre -- DET","Thomas, Isaiah -- BOS","Thompson, Klay -- GS",2015
David Steele,Fox Sports Florida,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Towns, Karl-Anthony -- MIN","Paul, Chris -- LAC","Lillard, Damian -- POR","George, Paul -- IND","Millsap, Paul -- ATL","Horford, Al -- ATL","Harden, James -- HOU","Lowry, Kyle -- TOR",2015
Diamond Leung,Bay Area News Group,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Paul, Chris -- LAC","Millsap, Paul -- ATL","George, Paul -- IND","Bogut, Andrew -- GS","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Doris Burke,ESPN,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lillard, Damian -- POR","George, Paul -- IND","Horford, Al -- ATL","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2015
Doug Smith,The Toronto Star,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Lillard, Damian -- POR","Harden, James -- HOU",2015
Dwain Price,Ft. Worth Star Telegam,"James, LeBron -- CLE","Durant, Kevin -- OKC","Whiteside, Hassan -- MIA","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Drummond, Andre -- DET","Harden, James -- HOU","Paul, Chris -- LAC","Nowitzki, Dirk -- DAL","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Thomas, Isaiah -- BOS",2015
