Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Brian Davis,Fox Sports Oklahoma,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Westbrook, Russell -- OKC","Allen, Tony -- MEM","Davis, Anthony -- NO","Gasol, Marc -- MEM","Middleton, Khris -- MIL","Butler, Jimmy -- CHI",2015,All-Defensive
Brian Sieman,The Beast 980 AM FM,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Duncan, Tim -- SA","Bogut, Andrew -- GS","Wall, John -- WAS","Kidd-Gilchrist, Michael -- CHA",2015,All-Defensive
Brian Windhorst,ESPN.com,"Green, Draymond -- GS","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Iguodala, Andre -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Wall, John -- WAS","Bradley, Avery -- BOS",2015,All-Defensive
Candace Buckner,Indianapolis Star,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Duncan, Tim -- SA","Millsap, Paul -- ATL","Gobert, Rudy -- UTA","Curry, Stephen -- GS","Paul, Chris -- LAC",2015,All-Defensive
Charles Gardner,Milwaukee Journal Sentinel,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Davis, Anthony -- NO","Iguodala, Andre -- GS","Gobert, Rudy -- UTA","Wall, John -- WAS","Middleton, Khris -- MIL",2015,All-Defensive
Chris Broussard,ESPN The Magazine,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Conley, Mike -- MEM","Leonard, Kawhi -- SA","Ibaka, Serge -- OKC","Duncan, Tim -- SA","Paul, Chris -- LAC","Beverley, Patrick -- HOU",2015,All-Defensive
Chris Denari,Fox Sports Indiana,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Butler, Jimmy -- CHI","Davis, Anthony -- NO","James, LeBron -- CLE","Bogut, Andrew -- GS","Paul, Chris -- LAC","Allen, Tony -- MEM",2015,All-Defensive
Chris Mannix,Sports Illustrated,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","James, LeBron -- CLE","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Bradley, Avery -- BOS",2015,All-Defensive
Chris Marlowe,Altitude Sports & Entertainment,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","James, LeBron -- CLE","Green, Draymond -- GS","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defensive
Chris Sheridan,Sheridanhoops.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Westbrook, Russell -- OKC","Allen, Tony -- MEM","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Curry, Stephen -- GS",2015,All-Defensive
Chuck Cooperstein,ESPN 103.3,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defensive
Chuck Swirsky,WMVP AM 1000,"Davis, Anthony -- NO","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Leonard, Kawhi -- SA","Duncan, Tim -- SA","Kidd-Gilchrist, Michael -- CHA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Allen, Tony -- MEM",2015,All-Defensive
Dante Marchitelli,Fox Sports Florida,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Davis, Anthony -- NO","James, LeBron -- CLE","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Wall, John -- WAS",2015,All-Defensive
Darnell Mayberry,Oklahoman,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Bradley, Avery -- BOS","Carroll, DeMarre -- ATL","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC",2015,All-Defensive
Dave Johnson,106.7 The Fan,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Wall, John -- WAS","Allen, Tony -- MEM","Davis, Anthony -- NO","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Butler, Jimmy -- CHI",2015,All-Defensive
Dave McMenamin,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Butler, Jimmy -- CHI","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Green, Danny -- SA",2015,All-Defensive
David Aldridge,TNT,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Wall, John -- WAS","Duncan, Tim -- SA","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Green, Danny -- SA","Curry, Stephen -- GS",2015,All-Defensive
David Mayo,Mlive Media Group,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Davis, Anthony -- NO","Allen, Tony -- MEM","Paul, Chris -- LAC","Ibaka, Serge -- OKC","Noah, Joakim -- CHI","Gobert, Rudy -- UTA","Wade, Dwyane -- MIA","Westbrook, Russell -- OKC",2015,All-Defensive
Dennis Neumann,ESPN 580 AM,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Davis, Anthony -- NO","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Green, Danny - SA","James, LeBron -- CLE","Bogut, Andrew -- GS","Allen, Tony -- MEM","Wall, John -- WAS",2015,All-Defensive
Diamond Leung,Bay Area News Group/Contra Costa Times,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Paul, Chris -- LAC","Middleton, Khris -- MIL","Duncan, Tim -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Allen, Tony -- MEM",2015,All-Defensive
Doris Burke,ESPN,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Bogut, Andrew -- GS","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defensive
Doug Smith,The Toronto Star,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defensive
Dwain Price,Ft. Worth Star Telegam,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Westbrook, Russell -- OKC","Green, Draymond -- GS","Randolph, Zach -- MEM","Gasol, Marc -- MEM","Paul, Chris -- LAC","Teague, Jeff -- ATL",2015,All-Defensive
Eddie Johnson,Fox Sports Arizona,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","James, LeBron -- CLE","Tucker, P.J. -- PHO","Duncan, Tim -- SA","Westbrook, Russell -- OKC","Thompson, Klay -- GS",2015,All-Defensive
Eric Hasseltine,92.9 FM ESPN/680 AM,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Duncan, Tim -- SA","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Shumpert, Iman -- CLE",2015,All-Defensive
Ernie Johnson,TNT,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Green, Draymond -- GS","James, LeBron -- CLE","Gasol, Marc -- MEM","Paul, Chris -- LAC","Thompson, Klay -- GS",2015,All-Defensive
Ethan Skolnick,Bleacher Report,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Duncan, Tim -- SA","Davis, Anthony -- NO","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defensive
Fran Blinebury,NBA.com,"Duncan, Tim -- SA","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Green, Draymond -- GS","Davis, Anthony -- NO","James, LeBron -- CLE","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defensive
Frank Isola,Sirius Radio/New York Daily News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Duncan, Tim -- SA","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Beverley, Patrick -- HOU",2015,All-Defensive
Fred McLeod,Fox Sports Ohio,"Green, Draymond -- GS","Noel, Nerlens -- PHI","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","James, LeBron -- CLE","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defensive
Gary Gerould,Comcast SportsNet-CA,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Davis, Anthony -- NO","James, LeBron -- CLE","Bogut, Andrew -- GS","Paul, Chris -- LAC","Tucker, P.J. -- PHO",2015,All-Defensive
Gary Washburn,Boston Globe,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Westbrook, Russell -- OKC","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defensive
George Blaha,WMGC / Fox Sports Detroit,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","James, LeBron -- CLE","Noah, Joakim -- CHI","Davis, Anthony -- NO","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015,All-Defensive
Glenn Consor,106.7 The Fan,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Kidd-Gilchrist, Michael -- CHA","Leonard, Kawhi -- SA","Ariza, Trevor -- HOU","Gobert, Rudy -- UTA","James, LeBron -- CLE","Allen, Tony -- MEM",2015,All-Defensive
Grant Napear,Comcast SportsNet-CA,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Paul, Chris -- LAC","Butler, Jimmy -- CHI","James, LeBron -- CLE","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Green, Danny -- SA","Allen, Tony -- MEM",2015,All-Defensive
Howard Beck,Bleacher Report,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Davis, Anthony -- NO","Middleton, Khris -- MIL","Gobert, Rudy -- UTA","Wall, John -- WAS","Allen, Tony -- MEM",2015,All-Defensive
Hubie Brown,ESPN,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Green, Draymond -- GS","James, LeBron -- CLE","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Beverley, Patrick -- HOU",2015,All-Defensive
Ian Eagle,YES Network,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Davis, Anthony -- NO","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Carroll, DeMarre -- ATL","Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Matthews, Wesley -- POR",2015,All-Defensive
Israel Guttierez,ESPN.com,"Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Butler, Jimmy -- CHI","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Wall, John -- WAS",2015,All-Defensive
JA Adande,ESPN.com,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Duncan, Tim -- SA","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Westbrook, Russell -- OKC","Butler, Jimmy -- CHI",2015,All-Defensive
Jabari Young,Comcast SportsNet NW,"James, LeBron -- CLE","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Allen, Tony -- MEM","Duncan, Tim -- SA","Gasol, Marc -- MEM","Paul, Chris -- LAC","Matthews, Wesley -- POR",2015,All-Defensive
Jason Jackson,Sun Sports,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Allen, Tony -- MEM","Noel, Nerlens -- PHI","Green, Draymond -- GS","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Harden, James -- HOU",2015,All-Defensive
Jason Jones,Sacramento Bee,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Duncan, Tim -- SA","Bogut, Andrew -- GS","Thompson, Klay -- GS","Butler, Jimmy -- CHI",2015,All-Defensive
Jason Kosmicki,Altitude Radio Network,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","James, LeBron -- CLE","Green, Draymond -- GS","Noah, Joakim -- CHI","Bledsoe, Eric -- PHO","Paul, Chris -- LAC",2015,All-Defensive
Jason Lloyd,Akron Beacon Journal,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Bradley, Avery -- BOS","Butler, Jimmy -- CHI","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defensive
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Green, Draymond -- GS","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defensive
Jeff Zillgitt,USA Today,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Wall, John -- WAS","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Butler, Jimmy -- CHI",2015,All-Defensive
Jerry Zgoda,Minneapolis Star Tribune,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Duncan, Tim -- SA","James, LeBron -- CLE","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defensive
Jim Barnett,Comcast SportsNet Bay Area,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Paul, Chris -- LAC",2015,All-Defensive
Jim Paschke,Fox Sports Wisconsin,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Ariza, Trevor -- HOU","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defensive
Jim Petersen,Fox Sports North,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defensive
Jody Genessy,Deseret News,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defensive
Joe Freeman,The Oregonian,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Bradley, Avery -- BOS","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Bogut, Andrew -- GS","Conley, Mike -- MEM","Butler, Jimmy -- CHI",2015,All-Defensive
Joe Goodman,Miami Herald,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Wall, John -- WAS","Leonard, Kawhi -- SA","Carroll, DeMarre -- ATL","Gasol, Marc -- MEM","Harden, James -- HOU","Green, Danny -- SA",2015,All-Defensive
Joel Meyers,Fox Sports New Orleans,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Duncan, Tim -- SA","Ariza, Trevor -- HOU","Bogut, Andrew -- GS","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defensive
John Denton,OrlandoMagic.com,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Paul, Chris -- LAC","Green, Draymond -- GS","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Payton, Elfrid -- ORL",2015,All-Defensive
John Reid,New Orleans Times Picayune,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defensive
Jon Barry,ESPN Radio,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Westbrook, Russell -- OKC","Davis, Anthony -- NO","Duncan, Tim -- SA","Bogut, Andrew -- GS","Thompson, Klay -- GS","Allen, Tony -- MEM",2015,All-Defensive
Jonathan Feigen,Houston Chronicle,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Tucker, P.J. -- PHO","Wall, John -- WAS",2015,All-Defensive
KC Johnson,Chicago Tribune,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Paul, Chris -- LAC","Green, Draymond -- GS","Allen, Tony -- MEM","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Wall, John -- WAS",2015,All-Defensive
Keith Pompey,Philadelphia Inquirer,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Noel, Nerlens -- PHI","Kidd-Gilchrist, Michael -- CHA","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Allen, Tony -- MEM",2015,All-Defensive
Ken Berger,CBSSports.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Paul, Chris -- LAC","Allen, Tony -- MEM","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Duncan, Tim -- SA","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defensive
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Davis, Anthony -- NO","Duncan, Tim -- SA","Gasol, Marc -- MEM","Carroll, DeMarre -- ATL","Green, Danny -- SA",2015,All-Defensive
Kevin Calabro,ESPN Radio,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Wall, John -- WAS","Iguodala, Andre -- GS","Davis, Anthony -- NO","Bogut, Andrew -- GS","Curry, Stephen -- GS","Teague, Jeff -- ATL",2015,All-Defensive
Kevin Ding,Bleacher Report,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gasol, Marc -- MEM","Paul, Chris -- LAC","Allen, Tony -- MEM","Millsap, Paul -- ATL","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Butler, Jimmy -- CHI",2015,All-Defensive
Lang Whitaker,NBA.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Duncan, Tim -- SA","Bogut, Andrew -- GS","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defensive
