Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Aaron Falk,Salt Lake Tribune,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Paul, Chris -- LAC","Duncan, Tim -- SA","Davis, Anthony -- NO","Bogut, Andrew -- GS","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defensive
Adrian Chavarria,KEYH 850 AM,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","James, LeBron -- CLE","Gasol, Pau -- CHI","Gasol, Marc -- MEM","Wall, John -- WAS","Westbrook, Russell -- OKC",2015,All-Defensive
Alan Horton,WCCO 830-AM,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Wall, John -- WAS","Paul, Chris -- LAC",2015,All-Defensive
Andre Aldridge,Fox Sports South,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Carroll, DeMarre -- ATL","Bogut, Andrew -- GS","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defensive
Andy Vasquez,Bergen Record,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defensive
Anthony Slater,Oklahoman,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Duncan, Tim -- SA","James, LeBron -- CLE","Gobert, Rudy -- UTA","Beverley, Patrick -- HOU","Middleton, Khris -- MIL",2015,All-Defensive
Antonio Harvey,Fox Sports Radio/620AM,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Green, Draymond -- GS","Ariza, Trevor -- HOU","Gasol, Marc -- MEM","Matthews, Wesley -- POR","Rondo, Rajon -- DAL",2015,All-Defensive
Bill Land,Fox Sports Southwest,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Butler, Jimmy -- CHI","Duncan, Tim -- SA","Ariza, Trevor -- HOU","Bogut, Andrew -- GS","Wall, John -- WAS","Beverley, Patrick -- HOU",2015,All-Defensive
Bill Oram,Orange County Register,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Duncan, Tim -- SA","Antetokounmpo, Giannis - Mil","Bogut, Andrew -- GS","Wall, John -- WAS","Paul, Chris -- LAC",2015,All-Defensive
Bill Reiter,Foxsports.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Paul, Chris -- LAC","Butler, Jimmy -- CHI","James, LeBron -- CLE","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Wall, John -- WAS",2015,All-Defensive
Bill Schoening,WOAI Radio,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Beverley, Patrick -- HOU","Allen, Tony -- MEM","Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Hill, George - IND",2015,All-Defensive
Bill Simmons,Grantland,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Paul, Chris -- LAC","Davis, Anthony -- NO","Kidd-Gilchrist, Michael -- CHA","Duncan, Tim -- SA","Butler, Jimmy -- CHI","Wall, John -- WAS",2015,All-Defensive
Bill Worrell,Root Sports Southwest,"Ariza, Trevor -- HOU","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Conley, Mike -- MEM","Carroll, DeMarre -- ATL","Leonard, Kawhi -- SA","Gasol, Marc -- MEM","Paul, Chris -- LAC","Tucker, P.J. -- PHO",2015,All-Defensive
Bob Cooney,Philadelphia Daily News,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Duncan, Tim -- SA","James, LeBron -- CLE","Bogut, Andrew -- GS","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defensive
Bob Fitzgerald,Comcast SportsNet Bay Area,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Kidd-Gilchrist, Michael -- CHA","James, LeBron -- CLE","Gasol, Marc -- MEM","Curry, Stephen -- GS","Conley, Mike -- MEM",2015,All-Defensive
Bob Rathbun,Fox Sports South,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Teague, Jeff -- ATL","Carroll, DeMarre -- ATL","Allen, Tony -- MEM","Gobert, Rudy -- UTA","Curry, Stephen -- GS","Green, Danny -- SA",2015,All-Defensive
