Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"Iguodala, Andre -- GS","Kanter, Enes -- OKC","Barton, Will -- DEN",2015,6th
Adam Himmelsbach,Boston Globe,"Kanter, Enes -- OKC","Iguodala, Andre -- GS","Turner, Evan -- BOS",2015,6th
Alan Horton,WCCO 830-AM,"Iguodala, Andre -- GS","Crawford, Jamal -- LAC","Turner, Evan -- BOS",2015,6th
Andre Aldridge,Fox Sports South,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Kanter, Enes -- OKC",2015,6th
Andy Vasquez,Bergen Record,"Iguodala, Andre -- GS","Davis, Ed -- POR","Kanter, Enes -- OKC",2015,6th
Antonio Harvey,Fox Sports Radio/620AM,"Barton, Will -- DEN","Crawford, Jamal -- LAC","Anderson, Ryan -- NOP",2015,6th
Bill Land,Fox Sports Southwest,"Iguodala, Andre -- GS","Barton, Will -- DEN","Turner, Evan -- BOS",2015,6th
Bill Oram,Orange County Register,"Iguodala, Andre -- GS","Barton, Will -- DEN","Crawford, Jamal -- LAC",2015,6th
Bill Reiter,CBSSports.com,"Barton, Will -- DEN","Iguodala, Andre -- GS","Kanter, Enes -- OKC",2015,6th
Bill Schoening,WOAI Radio,"Kanter, Enes -- OKC","Barton, Will -- DEN","Turner, Evan -- BOS",2015,6th
Bill Simmons,Bill Simmons Podcast/HBO,"Iguodala, Andre -- GS","Barton, Will -- DEN","Livingston, Shaun -- GS",2015,6th
Bill Worrell,Root Sports Southwest,"Anderson, Ryan -- NOP","Iguodala, Andre -- GS","Crawford, Jamal -- LAC",2015,6th
Bob Rathbun,Fox Sports South,"Iguodala, Andre -- GS","Turner, Evan -- BOS","Schroder, Dennis -- ATL",2015,6th
Brian Davis,Fox Sports Oklahoma,"Kanter, Enes -- OKC","Crawford, Jamal -- LAC","Iguodala, Andre -- GS",2015,6th
Brian Mahoney,Associated Press,"Crawford, Jamal -- LAC","Iguodala, Andre -- GS","Lin, Jeremy -- CHA",2015,6th
