Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015,MIP
Adam Himmelsbach,Boston Globe,"McCollum, CJ -- POR","Leonard, Kawhi -- SA","Crowder, Jae -- BOS",2015,MIP
Alan Horton,WCCO 830-AM,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015,MIP
Andre Aldridge,Fox Sports South,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Crowder, Jae -- BOS",2015,MIP
Anthony Slater,The Oklahoman,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Curry, Stephen -- GS",2015,MIP
Bill Land,Fox Sports Southwest,"McCollum, CJ -- POR","Curry, Stephen -- GS","Leonard, Kawhi -- SA",2015,MIP
Bill Oram,Orange County Register,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Barton, Will -- DEN",2015,MIP
Bill Reiter,CBSSports.com,"McCollum, CJ -- POR","Barton, Will -- DEN","Crowder, Jae -- BOS",2015,MIP
Bill Schoening,WOAI Radio,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015,MIP
Bill Simmons,Bill Simmons Podcast/HBO,"McCollum, CJ -- POR","Barton, Will -- DEN","Walker, Kemba -- CHA",2015,MIP
Bob Fitzgerald,Comcast SportsNet Bay Area,"McCollum, CJ -- POR","Green, Draymond -- GS","Walker, Kemba -- CHA",2015,MIP
Bob Rathbun,Fox Sports South,"Curry, Stephen -- GS","McCollum, CJ -- POR","Walker, Kemba -- CHA",2015,MIP
Brendan Brown,MSG Network,"McCollum, CJ -- POR","Barton, Will -- DEN","Crowder, Jae -- BOS",2015,MIP
Brian Mahoney,Associated Press,"Green, Draymond -- GS","Walker, Kemba -- CHA","McCollum, CJ -- POR",2015,MIP
Brian Scalabrine,Comcast SportsNet New England,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Thomas, Isaiah -- BOS",2015,MIP
Brian Windhorst,ESPN.com,"Leonard, Kawhi -- SA","Curry, Stephen -- GS","Barton, Will -- DEN",2015,MIP
Candace Buckner,Indianapolis Star,"Walker, Kemba -- CHA","McCollum, CJ -- POR","Crowder, Jae -- BOS",2015,MIP
Charles Gardner,Milwaukee Journal Sentinel,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Walker, Kemba -- CHA",2015,MIP
Chris Broussard,ESPN,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015,MIP
Chris Carrino,WFAN (660),"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Walker, Kemba -- CHA",2015,MIP
Chris Denari,Fox Sports Indiana,"McCollum, CJ -- POR","Barton, Will -- DEN","Mahinmi, Ian -- IND",2015,MIP
Chris Marlowe,Altitude Sports & Entertainment,"McCollum, CJ -- POR","Barton, Will -- DEN","Curry, Stephen -- GS",2015,MIP
Chris Sheridan,Sheridanhoops.com,"McCollum, CJ -- POR","Curry, Stephen -- GS","Antetokounmpo, Giannis -- MIL",2015,MIP
Chuck Cooperstein,ESPN 103.3,"McCollum, CJ -- POR","Whiteside, Hassan -- MIA","Walker, Kemba -- CHA",2015,MIP
Chuck Swirsky,ESPN AM 1000,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Walker, Kemba -- CHA",2015,MIP
