Voter,Affiliation,1st,2nd,3rd,4th,5th,Year
Aaron Falk,Salt Lake Tribune,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2015
Adam Himmelsbach,Boston Globe,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
Adrian Chavarria,KEYH 850 AM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lowry, Kyle -- TOR",2015
Al Iannazzone,Newsday,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Alan Horton,WCCO 830-AM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Andre Aldridge,Fox Sports South,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Durant, Kevin -- OKC",2015
Andy Vasquez,Bergen Record,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Lowry, Kyle -- TOR",2015
Anthony Slater,The Oklahoman,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Antonio Harvey,Fox Sports Radio/620AM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Green, Draymond -- GS","James, LeBron -- CLE",2015
Bill Land,Fox Sports Southwest,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Bill Oram,Orange County Register,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Bill Reiter,CBSSports.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
Bill Schoening,WOAI Radio,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Bill Simmons,Bill Simmons Podcast/HBO,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Paul, Chris -- LAC",2015
Bill Worrell,Root Sports Southwest,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Harden, James -- HOU","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Bob Fitzgerald,Comcast SportsNet Bay Area,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Bob Rathbun,Fox Sports South,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
Brendan Brown,MSG Network,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2015
Brian Davis,Fox Sports Oklahoma,"Curry, Stephen -- GS","Durant, Kevin -- OKC","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Brian Lewis,New York Post,"Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC",2015
Brian Mahoney,Associated Press,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS",2015
Brian Sieman,The Beast 980,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Paul, Chris -- LAC","James, LeBron -- CLE","Green, Draymond -- GS",2015
Brian Windhorst,ESPN.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Candace Buckner,Indianapolis Star,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2015
Cedric Maxwell,98.5 The Sports Hub,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Lillard, Damian -- POR","Durant, Kevin -- OKC",2015
Charles Gardner,Milwaukee Journal Sentinel,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2015
Chris Broussard,ESPN,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Chris Dempsey,Denver Post,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
Chris Denari,Fox Sports Indiana,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Chris Marlowe,Altitude Sports & Entertainment,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Paul, Chris -- LAC",2015
Chris Sheridan,Sheridanhoops.com,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Lillard, Damian -- POR","James, LeBron -- CLE",2015
Chuck Cooperstein,ESPN 103.3,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2015
Dante Marchitelli,Fox Sports Florida,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Westbrook, Russell -- OKC",2015
Dave McMenamin,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
David Aldridge,TNT,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
David Mayo,Mlive Media Group,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Lillard, Damian -- POR",2015
David Steele,Fox Sports Florida,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
David Wesley,Fox Sports New Orleans,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Lowry, Kyle -- TOR",2015
Doris Burke,ESPN,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Paul, Chris -- LAC",2015
Doug Smith,The Toronto Star,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC","James, LeBron -- CLE",2015
Eddie Johnson,Fox Sports Arizona,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Eddie Sefko,Dallas Morning News,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lowry, Kyle -- TOR","Paul, Chris -- LAC",2015
Eric Smith,TSN 1050/Sportsnet 590 The Fan,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Ernie Johnson,TNT,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Ethan Skolnick,Miami Herald,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Fran Blinebury,NBA.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2015
Frank Isola,Sirius Radio/New York Daily News,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Fred McLeod,Fox Sports Ohio,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC",2015
Gary Gerould,Comcast SportsNet-CA,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Gary Washburn,Boston Globe,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lillard, Damian -- POR","Leonard, Kawhi -- SA",2015
George Blaha,WMGC / Fox Sports Detroit,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC",2015
Glenn Consor,106.7 The Fan,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","James, LeBron -- CLE",2015
Grant Napear,Comcast SportsNet-CA,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2015
Howard Beck,Bleacher Report,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2015
Hubie Brown,ESPN,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2015
Israel Guttierez,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Durant, Kevin -- OKC",2015
JA Adande,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Jason Jones,Sacramento Bee,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC","James, LeBron -- CLE",2015
Jason Lieser,Palm Beach Post,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Jason Lloyd,Akron Beacon Journal,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2015
Jeff McDonald,San Antonio Express-News,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Jeff Zillgitt,USA Today,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2015
Jerry Zgoda,Minneapolis Star Tribune,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Lillard, Damian -- POR","Westbrook, Russell -- OKC",2015
Jim Paschke,Fox Sports Wisconsin,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Jim Petersen,Fox Sports North,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Durant, Kevin -- OKC",2015
Jody Genessy,Deseret News,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC","Leonard, Kawhi -- SA",2015
Joe Cowley,Chicago Sun-Times,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Joe Freeman,The Oregonian,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lillard, Damian -- POR",2015
Joel Meyers,Fox Sports New Orleans,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
John Denton,OrlandoMagic.com,"Curry, Stephen -- GS","Green, Draymond -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC",2015
John Krawczynski,Associated Press,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Westbrook, Russell -- OKC",2015
Jon Barry,ESPN Radio,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA",2015
Jonathan Feigen,Houston Chronicle,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
K.C. Johnson,Chicago Tribune,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2015
Keith Pompey,Philadelphia Inquirer,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC","Harden, James -- HOU",2015
Ken Berger,CBSSports.com,"Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC",2015
Kevin Arnovitz,ESPN.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2015
Kevin Calabro,ESPN Radio,"Curry, Stephen -- GS","Paul, Chris -- LAC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Lang Whitaker,NBA.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Marc Spears,The Undefeated,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Lillard, Damian -- POR","James, LeBron -- CLE","Leonard, Kawhi -- SA",2015
Marc Stein,ESPN.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","James, LeBron -- CLE",2015
Marc Zumoff,Sixers TV,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Mark Boyle,107.5/1070 The Fan,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Mark Followill,TXA-21/Fox Sports Net,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Lillard, Damian -- POR",2015
Mark Medina,LA Daily News,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Lillard, Damian -- POR",2015
Marv Albert,TNT,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Matt Pinto,WWLS / 98.1,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","James, LeBron -- CLE",2015
Matt Winer,NBA TV,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Michael Smith,Prime Ticket,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Paul, Chris -- LAC","Lillard, Damian -- POR",2015
Michael Wilbon,ESPN,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2015
Mike Breen,ABC Sports,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
Mike Fratello,TNT,"Curry, Stephen -- GS","Green, Draymond -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC",2015
Mike Monroe,The Rivard Report,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Green, Draymond -- GS",2015
Mike Rice,Comcast SportsNet NW,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Lillard, Damian -- POR",2015
Mike Tirico,ESPN,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Green, Draymond -- GS",2015
Fans,N/A,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC","Leonard, Kawhi -- SA",2015
Nick Friedell,ESPNChicago.com,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC","Leonard, Kawhi -- SA",2015
Paul Coro,The Arizona Republic,"Curry, Stephen -- GS","James, LeBron -- CLE","Durant, Kevin -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2015
Pete Pranica,Fox Sports Southeast,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Lillard, Damian -- POR",2015
Phil Chenier,Comcast SportsNet Mid-Atlantic,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2015
Ralph Lawler,Prime Ticket,"Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC",2015
Ramona Shelburne,ESPN.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Ric Bucher,Bleacher Report,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Green, Draymond -- GS",2015
Rick Bonnell,Charlotte Observer,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC","Durant, Kevin -- OKC",2015
Ron Boone,ROOT Sports,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","James, LeBron -- CLE","Paul, Chris -- LAC",2015
Ron Tillery,Memphis Commercial Appeal,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Rusty Simmons,San Francisco Chronicle,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2015
Sage Steele,ABC Sports,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Green, Draymond -- GS",2015
Sam Amick,USA Today,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Durant, Kevin -- OKC",2015
Sam Smith,Bulls.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Paul, Chris -- LAC","Leonard, Kawhi -- SA","Lillard, Damian -- POR",2015
Scott Hastings,Altitude Sports & Entertainment,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Sean Deveney,The Sporting News,"Curry, Stephen -- GS","Durant, Kevin -- OKC","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC",2015
