Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Ailene Voisin,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Durant, Kevin (G.S.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defensive
Andrew Sharp,Sports Illustrated,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Adams, Steven (OKC.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2017,All-Defensive
Anthony Slater,Bay Area News Group,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Green, Danny (S.A.)",2017,All-Defensive
Antoni Daimiel,Moviestar+,"Covington, Robert (Phi.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)",2017,All-Defensive
Ben Golliver,Sports Illustrated,"Green, Draymond (G.S.)","Roberson, Andre (OKC.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Rubio, Ricky (Min.)","Smart, Marcus (Bos.)",2017,All-Defensive
Bill Oram,Orange County Register,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Covington, Robert (Phi.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defensive
Bill Simmons,The Ringer,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Rivers, Austin (LA-C)",2017,All-Defensive
Brent Barry,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Holiday, Jrue (N.O.)",2017,All-Defensive
Brian Lewis,New York Post,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defensive
Brian Mahoney,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2017,All-Defensive
