Voter,Affiliation,1st,2nd,3rd,Year,Award
KC Johnson,Chicago Tribune,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Keith Pompey,Philadelphia Inquirer,"Brown, Brett (PHI)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Kevin Arnovitz,ESPN.com,"Casey, Dwane (TOR)","McMillan, Nate (IND)","Snyder, Quin (UTA)",2017,COY
Kevin Harlan,Turner,"Brown, Brett (PHI)","Casey, Dwane (TOR)","Stotts, Terry (POR)",2017,COY
Kevin O'Connor,The Ringer,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Kevin Pelton,ESPN.com,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Stotts, Terry (POR)",2017,COY
Kristen Ledlow,Turner,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Kurt Helin,NBCSports.com,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Lee Jenkins,Sports Illustrated,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Lisa Yang,Tencent,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Manny Navarro,Miami Herald,"Snyder, Quin (UTA)","McMillan, Nate (IND)","Casey, Dwane (TOR)",2017,COY
Marc Berman,New York Post,"Stevens, Brad (BOS)","Brown, Brett (PHI)","McMillan, Nate (IND)",2017,COY
Marc Kestecher,ESPN Radio,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Mark Jackson,ABC/ESPN,"Casey, Dwane (TOR)","Stotts, Terry (POR)","Snyder, Quin (UTA)",2017,COY
Marv Albert,Turner,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Brown, Brett (PHI)",2017,COY
Matt Velazquez,Milwaukee Journal Sentinel,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","McMillan, Nate (IND)",2017,COY
Matt Winer,Turner,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Michael Grange,Rogers Sportsnet,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stotts, Terry (POR)",2017,COY
Michael Wilbon,ABC/ESPN,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stotts, Terry (POR)",2017,COY
Michelle Beadle,ABC/ESPN,"Snyder, Quin (UTA)","Brown, Brett (PHI)","Stevens, Brad (BOS)",2017,COY
Mike Breen,ABC/ESPN,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Brown, Brett (PHI)",2017,COY
Mike Ganter,Toronto Sun,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","McMillan, Nate (IND)",2017,COY
Nira Khurana,Excelsior,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Paul Flannery,SB Nation,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Rachel Nichols,ABC/ESPN,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Ramona Shelburne,ESPN.com,"Snyder, Quin (UTA)","McMillan, Nate (IND)","Stevens, Brad (BOS)",2017,COY
Reggie Miller,Turner,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Ric Bucher,Bleacher Report,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Richard Walker,Gaston Gazette,"McMillan, Nate (IND)","Brown, Brett (PHI)","Gentry, Alvin (NOP)",2017,COY
Rob Mahoney,Sports Illustrated,"Brown, Brett (PHI)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Rod Beard,Detroit News,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Ron Tillery,Memphis Commercial Appeal,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Rosalyn Gold‐Onwude,Turner,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Popovich, Gregg (SAS)",2017,COY
Royce Young,ESPN.com,"Brown, Brett (PHI)","Snyder, Quin (UTA)","Spoelstra, Erik (MIA)",2017,COY
Sam Amick,USA Today,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","McMillan, Nate (IND)",2017,COY
Scott Bordow,Arizona Republic,"Casey, Dwane (TOR)","McMillan, Nate (IND)","Stevens, Brad (BOS)",2017,COY
Sean Deveney,The Sporting News,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Sekou Smith,NBA.com,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Stotts, Terry (POR)",2017,COY
Sherrod Blakely,NBC Sports Boston,"Stevens, Brad (BOS)","Stotts, Terry (POR)","Casey, Dwane (TOR)",2017,COY
Stefan Bondy,New York Daily News,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","D’Antoni, Mike (HOU)",2017,COY
Steve Aschburner,NBA.com,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","McMillan, Nate (IND)",2017,COY
Steve Smith,Turner,"Casey, Dwane (TOR)","Stevens, Brad (BOS)","Snyder, Quin (UTA)",2017,COY
Thales Soares,Globoesporte.com,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Snyder, Quin (UTA)",2017,COY
Tim Reynolds,Associated Press,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Popovich, Gregg (SAS)",2017,COY
TJ Manotoc,ABS‐CBN,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
Tony Jones,Salt Lake Tribune,"Stevens, Brad (BOS)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Vincent Goodwill,NBC Sports Chicago,"McMillan, Nate (IND)","Snyder, Quin (UTA)","Casey, Dwane (TOR)",2017,COY
Weiping Zhang,CCTV,"Stevens, Brad (BOS)","Casey, Dwane (TOR)","Brown, Brett (PHI)",2017,COY
Will Guillory,New Orleans Times‐Picayune,"Stevens, Brad (BOS)","Popovich, Gregg (SAS)","Casey, Dwane (TOR)",2017,COY
Xavier Vaution,BeIn Sport,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Stevens, Brad (BOS)",2017,COY
Yoko Miyaji,Sports Graphic Number,"Casey, Dwane (TOR)","Snyder, Quin (UTA)","Brown, Brett (PHI)",2017,COY
Zach Lowe,ESPN.com,"Snyder, Quin (UTA)","Casey, Dwane (TOR)","Stevens, Brad (BOS)",2017,COY
