Voter,Affiliation,1st,2nd,3rd,Year,Award
Justin Termine,Sirius XM,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Justin Verrier,ESPN.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
KC Johnson,Chicago Tribune,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Keith Pompey,Philadelphia Inquirer,"Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)","Crawford, Jamal (LA-C)",2017,6th
Kevin Arnovitz,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2017,6th
Kevin Ding,Bleacher Report,"Iguodala, Andre (G.S.)","Johnson, James (Mia.)","Gordon, Eric (Hou.)",2017,6th
Kevin Harlan,Turner,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
Kevin O'Connor,The Ringer,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
Kristen Ledlow,Turner,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Kurt Helin,NBCSports.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2017,6th
Lang Whitaker,NBA.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Crawford, Jamal (LA-C)",2017,6th
Lee Jenkins,Sports Illustrated,"Gordon, Eric (Hou.)","Kanter, Enes (OKC.)","Iguodala, Andre (G.S.)",2017,6th
Lisa Yang,Tencent,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
Manny Navaro,Miami Herald,"Iguodala, Andre (G.S.)","Williams, Lou (Hou.)","Johnson, Tyler (Mia.)",2017,6th
Marc Berman,New York Post,"Gordon, Eric (Hou.)","Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)",2017,6th
Marc Kestecher,ESPN Radio,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Marc Spears,The Undefeated,"Gordon, Eric (Hou.)","Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)",2017,6th
Marc Stein,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Marcelo Nogueira,Ole,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2017,6th
Mark Jackson,ABC/ESPN,"Gordon, Eric (Hou.)","Williams, Lou (Hou.)","Iguodala, Andre (G.S.)",2017,6th
Mark Medina,LA Daily News,"Iguodala, Andre (G.S.)","Williams, Lou (Hou.)","Gordon, Eric (Hou.)",2017,6th
Matt Moore,CBSSports.com,"Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)","Carter, Vince (Mem.)",2017,6th
Matt Winer,Turner,"Kanter, Enes (OKC.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2017,6th
Michael Grange,Rogers Sportsnet,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2017,6th
Michael Wilbon,ABC/ESPN,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2017,6th
Michelle Beadle,ABC/ESPN,"Gordon, Eric (Hou.)","Williams, Lou (Hou.)","Iguodala, Andre (G.S.)",2017,6th
Mike Breen,ABC/ESPN,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2017,6th
Nate Taylor,Indianapolis Star,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2017,6th
Nira Khurana,Excelsior,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2017,6th
Paul Flannery,SB Nation,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2017,6th
Rachel Nichols,ABC/ESPN,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Ramona Shelburne,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2017,6th
Reggie Miller,Turner,"Williams, Lou (Hou.)","Gordon, Eric (Hou.)","Kanter, Enes (OKC.)",2017,6th
Ric Bucher,Bleacher Report,"Gordon, Eric (Hou.)","Hardaway Jr., Tim (Atl.)","Iguodala, Andre (G.S.)",2017,6th
Richard Walker,Gaston Gazette,"Williams, Lou (Hou.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2017,6th
Rod Beard,Detroit News,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2017,6th
Ron Tillery,Memphis Commercial-Appeal,"Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)",2017,6th
Royce Young,ESPN,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Kanter, Enes (OKC.)",2017,6th
Ryan Wolstat,Toronto Sun,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Sage Steele,ABC/ESPN,"Iguodala, Andre (G.S.)","Williams, Lou (Hou.)","Gordon, Eric (Hou.)",2017,6th
Sam Amick,USA Today,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Sean Deveney,The Sporting News,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Sekou Smith,NBA.com,"Gordon, Eric (Hou.)","Williams, Lou (Hou.)","Crawford, Jamal (LA-C)",2017,6th
Sherrod Blakely,CSN New England,"Gordon, Eric (Hou.)","Johnson, James (Mia.)","Iguodala, Andre (G.S.)",2017,6th
Steve Aschburner,NBA.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2017,6th
Steve Kyler,Basketball Insiders,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Steve Smith,Turner,"Gordon, Eric (Hou.)","Crawford, Jamal (LA-C)","Williams, Lou (Hou.)",2017,6th
Tim Reynolds,Associated Press,"Iguodala, Andre (G.S.)","Williams, Lou (Hou.)","Kanter, Enes (OKC.)",2017,6th
TJ Manotoc,ABC-CBN,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Tony Jones,Salt Lake Tribune,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Crawford, Jamal (LA-C)",2017,6th
Vince Goodwill,CSN Chicago,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2017,6th
Weiping Zhang,CCTV,"Gordon, Eric (Hou.)","Randolph, Zach (Mem.)","Kanter, Enes (OKC.)",2017,6th
Yoko Miyaji,Sports Graphic Number,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
Zach Lowe,ESPN.com,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2017,6th
