Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Ailene Voisin,Sacramento Bee,"James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Butler, Jimmy (MIN)","Simmons, Ben (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (HOU)",2017,All-NBA
Amin Elhassan,ESPN.com,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","DeRozan, DeMar (TOR)","Green, Draymond (GSW)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)",2017,All-NBA
Andrew Sharp,Sports Illustrated,"Durant, Kevin (GSW)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2017,All-NBA
Anthony Slater,The Athletic,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)","Butler, Jimmy (MIN)","George, Paul (OKC)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2017,All-NBA
Ben Golliver,Sports Illustrated,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Towns, Karl‐Anthony (MIN)","Paul, Chris (HOU)","DeRozan, DeMar (TOR)",2017,All-NBA
Bill Oram,Orange County Register,"Antetokounmpo, Giannis (MIL)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Harden, James (HOU)","Durant, Kevin (GSW)","Simmons, Ben (PHI)","Aldridge, LaMarcus (SAS)","Paul, Chris (HOU)","Westbrook, Russell (OKC)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Curry, Stephen (GSW)",2017,All-NBA
Bill Simmons,The Ringer,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Towns, Karl‐Anthony (MIN)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Westbrook, Russell (OKC)","Aldridge, LaMarcus (SAS)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","DeRozan, DeMar (TOR)","Paul, Chris (HOU)",2017,All-NBA
Brent Barry,Turner,"James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)","Simmons, Ben (PHI)","Towns, Karl‐Anthony (MIN)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","DeRozan, DeMar (TOR)",2017,All-NBA
Brett Dawson,The Oklahoman,"Antetokounmpo, Giannis (MIL)","James, LeBron (CLE)","Davis, Anthony (NOP)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)","Simmons, Ben (PHI)","George, Paul (OKC)","Towns, Karl‐Anthony (MIN)","Paul, Chris (HOU)","DeRozan, DeMar (TOR)",2017,All-NBA
Brian Mahoney,Associated Press,"James, LeBron (CLE)","Davis, Anthony (NOP)","Aldridge, LaMarcus (SAS)","Harden, James (HOU)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","DeRozan, DeMar (TOR)","Towns, Karl‐Anthony (MIN)","George, Paul (OKC)","Drummond, Andre (DET)","Westbrook, Russell (OKC)","Irving, Kyrie (BOS)",2017,All-NBA
