Voter,Affiliation,1st,2nd,3rd,Year
Kevin Arnovitz,ESPN.com,"Oladipo, Victor (IND)","Saric, Dario (PHI)","Dinwiddie, Spencer (BKN)",2017
Kevin Harlan,Turner,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
Kevin O'Connor,The Ringer,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Adams, Steven (OKC)",2017
Kevin Pelton,ESPN.com,"Oladipo, Victor (IND)","Sabonis, Domantas (IND)","Rozier, Terry (BOS)",2017
Kristen Ledlow,Turner,"Oladipo, Victor (IND)","Williams, Lou (LAL)","Capela, Clint (HOU)",2017
Kurt Helin,NBCSports.com,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Randle, Julius (LAL)",2017
Lee Jenkins,Sports Illustrated,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
Lisa Yang,Tencent,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Drummond, Andre (DET)",2017
Manny Navarro,Miami Herald,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Ingles, Joe (UTA)",2017
Marc Berman,New York Post,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Harrell, Montrezl (LAL)",2017
Marc Kestecher,ESPN Radio,"Oladipo, Victor (IND)","Capela, Clint (HOU)","DeRozan, DeMar (TOR)",2017
Mark Jackson,ABC/ESPN,"Oladipo, Victor (IND)","Evans, Tyreke (MEM)","Capela, Clint (HOU)",2017
Marv Albert,Turner,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Ingles, Joe (UTA)",2017
Matt Velazquez,Milwaukee Journal Sentinel,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Dinwiddie, Spencer (BKN)",2017
Matt Winer,Turner,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Randle, Julius (LAL)",2017
Michael Grange,Rogers Sportsnet,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Siakam, Pascal (TOR)",2017
Michael Wilbon,ABC/ESPN,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Drummond, Andre (DET)",2017
Michelle Beadle,ABC/ESPN,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Williams, Lou (LAL)",2017
Mike Breen,ABC/ESPN,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Moore, E'Twaun (NOP)",2017
Mike Ganter,Toronto Sun,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Capela, Clint (HOU)",2017
Fans,N/A,"Oladipo, Victor (IND)","Antetokounmpo, Giannis (MIL)","Adams, Steven (OKC)",2017
Nira Khurana,Excelsior,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Dinwiddie, Spencer (BKN)",2017
Paul Flannery,SB Nation,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Adams, Steven (OKC)",2017
Rachel Nichols,ABC/ESPN,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Adams, Steven (OKC)",2017
Ramona Shelburne,ESPN.com,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
Reggie Miller,Turner,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Capela, Clint (HOU)",2017
Ric Bucher,Bleacher Report,"Oladipo, Victor (IND)","Murray, Jamal (DEN)","Randle, Julius (LAL)",2017
