Voter,Affiliation,1st,2nd,3rd,Year,Award
Ailene Voisin,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2017,DPOY
Andrew Sharp,Sports Illustrated,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Roberson, Andre (OKC.)",2017,DPOY
Anthony Slater,Bay Area News Group,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Antoni Daimiel,Moviestar+,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Covington, Robert (Phi.)",2017,DPOY
Ben Golliver,Sports Illustrated,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Roberson, Andre (OKC.)",2017,DPOY
Bill Oram,Orange County Register,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Bill Simmons,The Ringer,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Brent Barry,Turner,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Brian Lewis,New York Post,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Brian Mahoney,Associated Press,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)",2017,DPOY
Brian Windhorst,ESPN.com,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Calvin Watkins,ESPN.com,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Charles Gardner,Milwaukee Journal-Sentinel,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Chris Broussard,Fox Sports,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Chris Webber,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2017,DPOY
David Aldridge,Turner,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Davide Chinellato,LaGazetta Dello Sport,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Dennis Scott,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2017,DPOY
Doris Burke,ABC/ESPN,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2017,DPOY
Doug Collins,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2017,DPOY
Doug Haller,Arizona Republic,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2017,DPOY
Doug Smith,The Toronto Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2017,DPOY
Eddie Sefko,Dallas Morning News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)",2017,DPOY
