Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Andrew Sharp,Sports Illustrated,"Embiid, Joel (Phi.)","Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)",2016
Anthony Slater,Bay Area News Group,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Antoni Daimiel,Moviestar+,"Embiid, Joel (Phi.)","Saric, Dario (Phi.)","Hernangomez, Willy (N.Y.)",2016
Ben Golliver,Sports Illustrated,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Bill Oram,Orange County Register,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Bill Simmons,The Ringer,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Brent Barry,Turner,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Murray, Jamal (Den.)",2016
Brian Lewis,New York Post,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Brian Mahoney,Associated Press,"Embiid, Joel (Phi.)","Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)",2016
Brian Windhorst,ESPN.com,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Calvin Watkins,ESPN.com,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Charles Gardner,Milwaukee Journal-Sentinel,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Chris Broussard,Fox Sports,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Chris Webber,Turner,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
David Aldridge,Turner,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Davide Chinellato,LaGazetta Dello Sport,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Dennis Scott,Turner,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Doris Burke,ABC/ESPN,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Doug Collins,ABC/ESPN,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Doug Haller,Arizona Republic,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Doug Smith,The Toronto Star,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Eddie Sefko,Dallas Morning News,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Ferrell, Yogi (Dal.)",2016
Erik Horne,The Oklahoman,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Ernie Johnson,Turner,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Flavio Tranquillo,Sky Italia,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Fran Blinebury,NBA.com,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hernangomez, Willy (N.Y.)",2016
Frank Isola,Sirius Radio/New York Daily News,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Gary Washburn,Boston Globe,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Howard Beck,Bleacher Report,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Hubie Brown,ABC/ESPN,"Embiid, Joel (Phi.)","Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)",2016
J Falgoust,CSN Washington,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","McGruder, Rodney (Mia.)",2016
JA Adande,ESPN.com,"Embiid, Joel (Phi.)","Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)",2016
Jackie MacMullan,ESPN.com,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Jacques Monclar,BEIN Sport,"Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)",2016
Jalen Rose,ABC/ESPN,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Jared Greenberg,Turner,"Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Murray, Jamal (Den.)",2016
Jason Jones,Sacramento Bee,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Brown, Jaylen (Bos.)",2016
Jeff McDonald,San Antonio Express-News,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Jeff Zillgitt,USA Today,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Jerry Zgoda,Minneapolis Star-Tribune,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Joe Freeman,The Oregonian,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Joe Vardon,Cleveland.com,"Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)",2016
John Schuhmann,NBA.com,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Embiid, Joel (Phi.)",2016
Jon Barry,ESPN Radio,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Murray, Jamal (Den.)",2016
Jon Krawczynski,Associated Press,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Justin Termine,Sirius XM,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
Justin Verrier,ESPN.com,"Embiid, Joel (Phi.)","Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)",2016
KC Johnson,Chicago Tribune,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Keith Pompey,Philadelphia Inquirer,"Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)",2016
Kevin Arnovitz,ESPN.com,"Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)","Hernangomez, Willy (N.Y.)",2016
Kevin Ding,Bleacher Report,"Saric, Dario (Phi.)","Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)",2016
Kevin Harlan,Turner,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Kevin O'Connor,The Ringer,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Hield, Buddy (Sac.)",2016
Kristen Ledlow,Turner,"Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)","Saric, Dario (Phi.)",2016
Kurt Helin,NBCSports.com,"Brogdon, Malcolm (Mil.)","Embiid, Joel (Phi.)","Hernangomez, Willy (N.Y.)",2016
Lang Whitaker,NBA.com,"Brogdon, Malcolm (Mil.)","Saric, Dario (Phi.)","Chriss, Marquese (Pho.)",2016
