Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"D’Antoni, Mike (Houston Rockets)","Popovich, Gregg (San Antonio Spurs)","Stevens, Brad (Boston Celtics)",2016
Andrew Sharp,Sports Illustrated,"D’Antoni, Mike (Houston Rockets)","Popovich, Gregg (San Antonio Spurs)","Spoelstra, Erik (Miami Heat)",2016
Anthony Slater,Bay Area News Group,"D’Antoni, Mike (Houston Rockets)","Popovich, Gregg (San Antonio Spurs)","Snyder, Quin (Utah Jazz)",2016
Antoni Daimiel,Moviestar+,"D’Antoni, Mike (Houston Rockets)","Kerr, Steve (Golden State Warriors)","Kidd, Jason (Milwaukee Bucks)",2016
Ben Golliver,Sports Illustrated,"D’Antoni, Mike (Houston Rockets)","Popovich, Gregg (San Antonio Spurs)","Brooks, Scott (Washington Wizards)",2016
Bill Oram,Orange County Register,"D’Antoni, Mike (Houston Rockets)","Snyder, Quin (Utah Jazz)","Popovich, Gregg (San Antonio Spurs)",2016
Bill Simmons,The Ringer,"Popovich, Gregg (San Antonio Spurs)","D’Antoni, Mike (Houston Rockets)","Brooks, Scott (Washington Wizards)",2016
Brent Barry,Turner,"D’Antoni, Mike (Houston Rockets)","Popovich, Gregg (San Antonio Spurs)","Brooks, Scott (Washington Wizards)",2016
Brian Lewis,New York Post,"D’Antoni, Mike (Houston Rockets)","Popovich, Gregg (San Antonio Spurs)","Spoelstra, Erik (Miami Heat)",2016
Brian Mahoney,Associated Press,"D’Antoni, Mike (Houston Rockets)","Spoelstra, Erik (Miami Heat)","Stevens, Brad (Boston Celtics)",2016
Brian Windhorst,ESPN.com,"D’Antoni, Mike (Houston Rockets)","Spoelstra, Erik (Miami Heat)","Popovich, Gregg (San Antonio Spurs)",2016
Calvin Watkins,ESPN.com,"D’Antoni, Mike (Houston Rockets)","Stevens, Brad (Boston Celtics)","Brooks, Scott (Washington Wizards)",2016
Charles Gardner,Milwaukee Journal-Sentinel,"Brooks, Scott (Washington Wizards)","Spoelstra, Erik (Miami Heat)","D’Antoni, Mike (Houston Rockets)",2016
Chris Broussard,Fox Sports,"D’Antoni, Mike (Houston Rockets)","Snyder, Quin (Utah Jazz)","Spoelstra, Erik (Miami Heat)",2016
Chris Webber,Turner,"D’Antoni, Mike (Houston Rockets)","Kidd, Jason (Milwaukee Bucks)","Brooks, Scott (Washington Wizards)",2016
David Aldridge,Turner,"D’Antoni, Mike (Houston Rockets)","Spoelstra, Erik (Miami Heat)","Popovich, Gregg (San Antonio Spurs)",2016
Davide Chinellato,LaGazetta Dello Sport,"D’Antoni, Mike (Houston Rockets)","Stevens, Brad (Boston Celtics)","Spoelstra, Erik (Miami Heat)",2016
Dennis Scott,Turner,"Stevens, Brad (Boston Celtics)","D’Antoni, Mike (Houston Rockets)","Brooks, Scott (Washington Wizards)",2016
Doris Burke,ABC/ESPN,"D’Antoni, Mike (Houston Rockets)","Spoelstra, Erik (Miami Heat)","Popovich, Gregg (San Antonio Spurs)",2016
Doug Collins,ABC/ESPN,"D’Antoni, Mike (Houston Rockets)","Spoelstra, Erik (Miami Heat)","Snyder, Quin (Utah Jazz)",2016
Doug Haller,Arizona Republic,"D’Antoni, Mike (Houston Rockets)","Stevens, Brad (Boston Celtics)","Spoelstra, Erik (Miami Heat)",2016
