Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Chris Broussard,Fox Sports,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2016
Chris Webber,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Allen, Tony (Mem.)","Davis, Anthony (N.O.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2016
David Aldridge,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Green, Danny (S.A.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Curry, Stephen (G.S.)",2016
Davide Chinellato,LaGazetta Dello Sport,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Paul, Chris (LA-C)",2016
Dennis Scott,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Conley, Mike (Mem.)","Antetokounmpo, Giannis (Mil.)","Ariza, Trevor (Hou.)","Gasol, Marc (Mem.)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2016
Doris Burke,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2016
Doug Collins,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Conley, Mike (Mem.)",2016
Doug Haller,Arizona Republic,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Tucker, PJ (Tor.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2016
Doug Smith,The Toronto Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","James, LeBron (Cle.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Bradley, Avery (Bos.)",2016
Eddie Sefko,Dallas Morning News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Matthews, Wesley (Dal.)","Antetokounmpo, Giannis (Mil.)","Ariza, Trevor (Hou.)","Butler, Jimmy (Chi.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Wall, John (Was.)",2016
Erik Horne,The Oklahoman,"Roberson, Andre (OKC.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2016
Ernie Johnson,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Batum, Nicolas (Cha.)",2016
Flavio Tranquillo,Sky Italia,"Green, Draymond (G.S.)","Covington, Robert (Phi.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Green, Danny (S.A.)","Kidd-Gilchrist, Michael (Cha.)","Leonard, Kawhi (S.A.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)",2016
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thompson, Klay (G.S.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)",2016
Frank Isola,Sirius Radio/New York Daily News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","Antetokounmpo, Giannis (Mil.)","James, LeBron (Cle.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Beverley, Patrick (Hou.)",2016
Gary Washburn,Boston Globe,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)","Millsap, Paul (Atl.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Paul, Chris (LA-C)",2016
Howard Beck,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Tucker, PJ (Tor.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Smart, Marcus (Bos.)",2016
Hubie Brown,ABC/ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Wall, John (Was.)",2016
J Falgoust,CSN Washington,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2016
JA Adande,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2016
Jackie MacMullan,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Allen, Tony (Mem.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)",2016
Jacques Monclar,BEIN Sport,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thompson, Klay (G.S.)","Ibaka, Serge (Tor.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)",2016
Jalen Rose,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Wall, John (Was.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2016
Jared Greenberg,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)",2016
Jason Jones,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)","Mbah a Moute, Luc (LA-C)","Iguodala, Andre (G.S.)","Whiteside, Hassan (Mia.)","Conley, Mike (Mem.)","Green, Danny (S.A.)",2016
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","James, LeBron (Cle.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2016
Jeff Zillgitt,USA Today,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Butler, Jimmy (Chi.)","Roberson, Andre (OKC.)","Howard, Dwight (Atl.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2016
Jerry Zgoda,Minneapolis Star-Tribune,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)","Roberson, Andre (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Thompson, Klay (G.S.)",2016
Joe Freeman,The Oregonian,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Allen, Tony (Mem.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)",2016
