Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
Andrew Sharp,Sports Illustrated,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Roberson, Andre (OKC.)",2016
Anthony Slater,Bay Area News Group,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Antoni Daimiel,Moviestar+,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Covington, Robert (Phi.)",2016
Ben Golliver,Sports Illustrated,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Roberson, Andre (OKC.)",2016
Bill Oram,Orange County Register,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Bill Simmons,The Ringer,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Brent Barry,Turner,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Brian Lewis,New York Post,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Brian Mahoney,Associated Press,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)",2016
Brian Windhorst,ESPN.com,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Calvin Watkins,ESPN.com,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Charles Gardner,Milwaukee Journal-Sentinel,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Chris Broussard,Fox Sports,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Chris Webber,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
David Aldridge,Turner,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Davide Chinellato,LaGazetta Dello Sport,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Dennis Scott,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
Doris Burke,ABC/ESPN,"Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Leonard, Kawhi (S.A.)",2016
Doug Collins,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
Doug Haller,Arizona Republic,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
Doug Smith,The Toronto Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
Eddie Sefko,Dallas Morning News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)",2016
Erik Horne,The Oklahoman,"Gobert, Rudy (Utah)","Green, Draymond (G.S.)","Roberson, Andre (OKC.)",2016
Ernie Johnson,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)",2016
Flavio Tranquillo,Sky Italia,"Green, Draymond (G.S.)","Covington, Robert (Phi.)","Gobert, Rudy (Utah)",2016
