Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Dan Woike,Orange County Register,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN",2016,All-Rookie
Dante Marchitelli,Fox Sports Florida,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Turner, Myles -- IND",2016,All-Rookie
Dave Johnson,106.7 The Fan,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA","Jokic, Nikola -- DEN","Johnson, Stanley -- DET","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA",2016,All-Rookie
David Aldridge,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Booker, Devin -- PHX","Simmons, Jonathon -- SA","Turner, Myles -- IND","Jokic, Nikola -- DEN","Richardson, Josh -- MIA",2016,All-Rookie
David Mayo,Mlive Media Group,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Winslow, Justise -- MIA","Johnson, Stanley -- DET","Richardson, Josh -- MIA",2016,All-Rookie
David Steele,Fox Sports Florida,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Richardson, Josh -- MIA","Kaminsky, Frank -- CHA",2016,All-Rookie
David Wesley,Fox Sports New Orleans,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Johnson, Stanley -- DET","Mudiay, Emmanuel -- DEN","Hollis-Jefferson, Rondae -- BKN","Winslow, Justise -- MIA","Young, Joe -- IND","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Dell Curry,Fox Sports Carolinas/SportSouth,"Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Kaminsky, Frank -- CHA","Cauley-Stein, Willie -- SAC","Johnson, Stanley -- DET","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA",2016,All-Rookie
Doris Burke,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Winslow, Justise -- MIA","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Johnson, Stanley -- DET","Mudiay, Emmanuel -- DEN",2016,All-Rookie
Doug Smith,The Toronto Star,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Powell, Norman -- TOR","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Marjanovic, Boban -- SA","Lyles, Trey -- UTA",2016,All-Rookie
Dwain Price,Ft. Worth Star Telegam,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Winslow, Justise -- MIA","Cauley-Stein, Willie -- SAC","Jokic, Nikola -- DEN","Anderson, Justin -- DAL",2016,All-Rookie
Eddie Johnson,Fox Sports Arizona,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Winslow, Justise -- MIA","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Johnson, Stanley -- DET",2016,All-Rookie
Eddie Sefko,Dallas Morning News,"Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC","Anderson, Justin -- DAL","Booker, Devin -- PHX","Lyles, Trey -- UTA",2016,All-Rookie
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Turner, Myles -- IND","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Johnson, Stanley -- DET",2016,All-Rookie
Ernie Johnson,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Portis, Bobby -- CHI","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Kaminsky, Frank -- CHA",2016,All-Rookie
Fran Blinebury,NBA.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Richardson, Josh -- MIA","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI",2016,All-Rookie
Frank Isola,Sirius Radio/New York Daily News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Booker, Devin -- PHX","Winslow, Justise -- MIA","Portis, Bobby -- CHI","Richardson, Josh -- MIA","Jokic, Nikola -- DEN","Kaminsky, Frank -- CHA",2016,All-Rookie
Fred McLeod,Fox Sports Ohio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Kaminsky, Frank -- CHA","Winslow, Justise -- MIA",2016,All-Rookie
Gary Gerould,Comcast SportsNet-CA,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Cauley-Stein, Willie -- SAC","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Richardson, Josh -- MIA",2016,All-Rookie
