Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"Popovich, Gregg -- SA*","Kerr, Steve -- GS*","Stotts, Terry -- POR*",2016,COY
Alan Horton,WCCO 830-AM,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Clifford, Steve -- CHA*",2016,COY
Andre Aldridge,Fox Sports South,"Stotts, Terry -- POR*","Popovich, Gregg -- SA*","Casey, Dwane -- TOR*",2016,COY
Andy Vasquez,Bergen Record,"Kerr, Steve -- GS*","Popovich, Gregg -- SA*","Stevens, Brad -- BOS*",2016,COY
Antonio Harvey,Fox Sports Radio/620AM,"Stotts, Terry -- POR*","Casey, Dwane -- TOR*","Kerr, Steve -- GS*",2016,COY
Bill Land,Fox Sports Southwest,"Stotts, Terry -- POR*","Joerger, David -- MEM*","Kerr, Steve -- GS*",2016,COY
Bill Oram,Orange County Register,"Stotts, Terry -- POR*","Kerr, Steve -- GS*","Stevens, Brad -- BOS*",2016,COY
Bill Reiter,CBSSports.com,"Stotts, Terry -- POR*","Stevens, Brad -- BOS*","Kerr, Steve -- GS*",2016,COY
Bill Schoening,WOAI Radio,"Kerr, Steve -- GS*","Casey, Dwane -- TOR*","Stotts, Terry -- POR*",2016,COY
Bill Simmons,Bill Simmons Podcast/HBO,"Popovich, Gregg -- SA*","Clifford, Steve -- CHA*","Stevens, Brad -- BOS*",2016,COY
Bill Wennington,ESPN AM 1000,"Stevens, Brad -- BOS*","Kerr, Steve -- GS*","Stotts, Terry -- POR*",2016,COY
Bill Worrell,Root Sports Southwest,"Popovich, Gregg -- SA*","Rivers, Doc -- LAC*","Stotts, Terry -- POR*",2016,COY
Bob Rathbun,Fox Sports South,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Clifford, Steve -- CHA*",2016,COY
Brian Davis,Fox Sports Oklahoma,"Stotts, Terry -- POR*","Kerr, Steve -- GS*","Donovan, Billy -- OKC*",2016,COY
Brian Lewis,New York Post,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Popovich, Gregg -- SA*",2016,COY
Brian Mahoney,Associated Press,"Stotts, Terry -- POR*","Clifford, Steve -- CHA*","Joerger, David -- MEM*",2016,COY
Brian Sieman,The Beast 980,"Stotts, Terry -- POR*","Clifford, Steve -- CHA*","Rivers, Doc -- LAC*",2016,COY
Brian Windhorst,ESPN.com,"Popovich, Gregg -- SA*","Stotts, Terry -- POR*","Spoelstra, Erik -- MIA*",2016,COY
Calvin Watkins,ESPN.com Houston,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Casey, Dwane -- TOR*",2016,COY
Charles Gardner,Milwaukee Journal Sentinel,"Stotts, Terry -- POR*","Kerr, Steve -- GS*","Clifford, Steve -- CHA*",2016,COY
Chris Broussard,ESPN,"Kerr, Steve -- GS*","Popovich, Gregg -- SA*","Clifford, Steve -- CHA*",2016,COY
Chris Dempsey,Denver Post,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Stevens, Brad -- BOS*",2016,COY
Chris Denari,Fox Sports Indiana,"Clifford, Steve -- CHA*","Stotts, Terry -- POR*","Stevens, Brad -- BOS*",2016,COY
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Stotts, Terry -- POR*","Kerr, Steve -- GS*","Clifford, Steve -- CHA*",2016,COY
Chris Sheridan,Sheridanhoops.com,"Stotts, Terry -- POR*","Casey, Dwane -- TOR*","Popovich, Gregg -- SA*",2016,COY
Chuck Cooperstein,ESPN 103.3,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Carlisle, Rick -- DAL*",2016,COY
Dan Woike,Orange County Register,"Stotts, Terry -- POR*","Casey, Dwane -- TOR*","Stevens, Brad -- BOS*",2016,COY
Dante Marchitelli,Fox Sports Florida,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Clifford, Steve -- CHA*",2016,COY
Dave Johnson,106.7 The Fan,"Kerr, Steve -- GS*","Popovich, Gregg -- SA*","Stotts, Terry -- POR*",2016,COY
David Aldridge,TNT,"Kerr, Steve -- GS*","Casey, Dwane -- TOR*","Stotts, Terry -- POR*",2016,COY
David Steele,Fox Sports Florida,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Spoelstra, Erik -- MIA*",2016,COY
David Wesley,Fox Sports New Orleans,"Clifford, Steve -- CHA*","Casey, Dwane -- TOR*","Stevens, Brad -- BOS*",2016,COY
Dell Curry,Fox Sports Carolinas/SportSouth,"Clifford, Steve -- CHA*","Stotts, Terry -- POR*","Kerr, Steve -- GS*",2016,COY
Diamond Leung,Bay Area News Group,"Kerr, Steve -- GS*","Stotts, Terry -- POR*","Popovich, Gregg -- SA*",2016,COY
