Voter,Affiliation,1st,2nd,3rd,Year,Award
Eric Reid,Fox Sports Sun,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2016,ROY
Ernie Johnson,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND",2016,ROY
Fran Blinebury,NBA.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Frank Isola,Sirius Radio/New York Daily News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN",2016,ROY
Gary Gerould,Comcast SportsNet-CA,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Gary Washburn,Boston Globe,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK",2016,ROY
George Blaha,WMGC / Fox Sports Detroit,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND",2016,ROY
Grant Napear,Comcast SportsNet-CA,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Howard Beck,Bleacher Report,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Hubie Brown,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Ian Eagle,YES Network,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Ira Winderman,South Florida Sun Sentinel,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Israel Guttierez,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Russell, D'Angelo -- LAL",2016,ROY
JA Adande,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Jason Jackson,Fox Sports Sun,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Jason Jones,Sacramento Bee,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Jason Lloyd,Akron Beacon Journal,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2016,ROY
Jason Quick,Comcast SportsNet NW,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Jeff McDonald,San Antonio Express-News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Jeff Zillgitt,USA Today,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Jerry Zgoda,Minneapolis Star Tribune,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Jessica Camerato,Comcast SportsNet,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Jim Barnett,Comcast SportsNet Bay Area,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Jim Paschke,Fox Sports Wisconsin,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Jim Petersen,Fox Sports North,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Jody Genessy,Deseret News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Joel Meyers,Fox Sports New Orleans,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
John Denton,OrlandoMagic.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
