Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2016
Andrew Sharp,Sports Illustrated,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2016
Anthony Slater,Bay Area News Group,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Mills, Patty (S.A.)",2016
Antoni Daimiel,Moviestar+,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Johnson, James (Mia.)",2016
Ben Golliver,Sports Illustrated,"Iguodala, Andre (G.S.)","Williams, Lou (Hou.)","Gordon, Eric (Hou.)",2016
Bill Oram,Orange County Register,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2016
Bill Simmons,The Ringer,"Iguodala, Andre (G.S.)","Johnson, James (Mia.)","Gordon, Eric (Hou.)",2016
Brent Barry,Turner,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Mills, Patty (S.A.)",2016
Brian Lewis,New York Post,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Monroe, Greg (Mil.)",2016
Brian Mahoney,Associated Press,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2016
Brian Windhorst,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2016
Calvin Watkins,ESPN.com,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Randolph, Zach (Mem.)",2016
Charles Gardner,Milwaukee Journal-Sentinel,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Monroe, Greg (Mil.)",2016
Chris Broussard,Fox Sports,"Gordon, Eric (Hou.)","Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)",2016
Chris Webber,Turner,"Williams, Lou (Hou.)","Gordon, Eric (Hou.)","Randolph, Zach (Mem.)",2016
David Aldridge,Turner,"Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)","Williams, Lou (Hou.)",2016
Davide Chinellato,LaGazetta Dello Sport,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Williams, Lou (Hou.)",2016
Dennis Scott,Turner,"Crawford, Jamal (LA-C)","Williams, Lou (Hou.)","Iguodala, Andre (G.S.)",2016
Doris Burke,ABC/ESPN,"Gordon, Eric (Hou.)","Iguodala, Andre (G.S.)","Johnson, James (Mia.)",2016
Doug Collins,ABC/ESPN,"Randolph, Zach (Mem.)","Iguodala, Andre (G.S.)","Gordon, Eric (Hou.)",2016
