Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2020
Sam Amick,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Greg Anthony,Turner,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2020
Kevin Arnovitz,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Capela, Clint (ATL)",2020
Steve Aschburner,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2020
Evan Barnes,Memphis Commercial Appeal,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2020
Jon Barry,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Turner, Myles (IND)",2020
Howard Beck,Sports Illustrated,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Stefan Bondy,New York Daily News,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)",2020
Tim Bontemps,ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2020
Chris Broussard,Fox Sports,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2020
Ric Bucher,Sirius Radio,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2020
Doris Burke,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Shams Charania,The Athletic/Stadium,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Anthony Chiang,Miami Herald,"Gobert, Rudy (UTA)","Adebayo, Bam (MIA)","Simmons, Ben (PHI)",2020
Davide Chinellato,La Gazzetta Dello Sport,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2020
Mauricio Codocea,Clarin (Argentina),"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2020
Jamal Collier,Chicago Tribune,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Antoni Daimiel,Movistar+,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Caldwell-Pope, Kentavious (LAL)",2020
Dan Devine,The Ringer,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2020
Chris Fedor,Cleveland.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Joe Freeman,The Oregonian,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Vince Goodwill,Yahoo! Sports,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2020
Kyle Goon,Southern California News Group,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2020
Michael Grange,Rogers Sportsnet,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2020
