Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (OKC)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Walker, Kemba (BOS)","Westbrook, Russell (HOU)",2020,All-NBA
Sam Amick,The Athletic,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2020,All-NBA
Jason Anderson,Sacramento Bee,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Middleton, Khris (MIL)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2020,All-NBA
Greg Anthony,Turner,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","James, LeBron (LAL)","Harden, James (HOU)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (OKC)","Middleton, Khris (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Westbrook, Russell (HOU)","Lillard, Damian (POR)",2020,All-NBA
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Middleton, Khris (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)",2020,All-NBA
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Harden, James (HOU)","Middleton, Khris (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Lowry, Kyle (TOR)","Simmons, Ben (PHI)",2020,All-NBA
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lowry, Kyle (TOR)",2020,All-NBA
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Westbrook, Russell (HOU)","Lowry, Kyle (TOR)",2020,All-NBA
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Young, Trae (ATL)",2020,All-NBA
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Paul, Chris (OKC)","Mitchell, Donovan (UTA)",2020,All-NBA
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Beal, Bradley (WAS)","Butler, Jimmy (MIA)",2020,All-NBA
Howard Beck,Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Paul, Chris (OKC)",2020,All-NBA
Marc Berman,New York Post,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Beal, Bradley (WAS)","Simmons, Ben (PHI)",2020,All-NBA
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Embiid, Joel (PHI)","Harden, James (HOU)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Simmons, Ben (PHI)",2020,All-NBA
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Middleton, Khris (MIL)","Westbrook, Russell (HOU)",2020,All-NBA
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2020,All-NBA
Ric Bucher,Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","George, Paul (LAC)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Lowry, Kyle (TOR)",2020,All-NBA
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Young, Trae (ATL)",2020,All-NBA
Shams Charania,The Athletic/Stadium,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Paul, Chris (OKC)",2020,All-NBA
