Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Sam Amick,The Athletic,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Greg Anthony,Turner,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Rivers, Doc (PHI)",2020,COY
Kevin Arnovitz,ESPN,"Williams, Monty (PHX)","Snyder, Quin (UTA)","McMillan, Nate (ATL)",2020,COY
Steve Aschburner,NBA.com,"Snyder, Quin (UTA)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2020,COY
Evan Barnes,Memphis Commercial Appeal,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2020,COY
Jon Barry,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Howard Beck,Sports Illustrated,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Stefan Bondy,New York Daily News,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Tim Bontemps,ESPN,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Chris Broussard,Fox Sports,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Thibodeau, Tom (NYK)",2020,COY
Ric Bucher,Sirius Radio,"Snyder, Quin (UTA)","Thibodeau, Tom (NYK)","Williams, Monty (PHX)",2020,COY
Doris Burke,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Shams Charania,The Athletic/Stadium,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Anthony Chiang,Miami Herald,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Davide Chinellato,La Gazzetta Dello Sport,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Rivers, Doc (PHI)",2020,COY
Mauricio Codocea,Clarin (Argentina),"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Jamal Collier,Chicago Tribune,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Antoni Daimiel,Movistar+,"Rivers, Doc (PHI)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2020,COY
Dan Devine,The Ringer,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2020,COY
Chris Fedor,Cleveland.com,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Joe Freeman,The Oregonian,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Vince Goodwill,Yahoo! Sports,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2020,COY
Kyle Goon,Southern California News Group,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Thibodeau, Tom (NYK)",2020,COY
Michael Grange,Rogers Sportsnet,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Nash, Steve (BKN)",2020,COY
Jared Greenberg,Turner,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Kevin Harlan,Turner,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Malone, Michael (DEN)",2020,COY
Zach Harper,The Athletic,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Max Haupt,DPA,"Snyder, Quin (UTA)","Rivers, Doc (PHI)","Williams, Monty (PHX)",2020,COY
Chris Haynes,Yahoo! Sports,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Kurt Helin,NBCSports.com,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Adam Himmelsbach,Boston Globe,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Lisa Hsu,Tencent,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Cassidy Hubbarth,ESPN,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Rivers, Doc (PHI)",2020,COY
Kelly Iko,The Athletic,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Frank Isola,Sirius Radio,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Rivers, Doc (PHI)",2020,COY
Mark Jackson,ESPN,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Thibodeau, Tom (NYK)",2020,COY
Ernie Johnson,Turner,"Snyder, Quin (UTA)","Thibodeau, Tom (NYK)","Williams, Monty (PHX)",2020,COY
Jason Jones,The Athletic,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Tony Jones,The Athletic,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Fred Katz,The Athletic,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Marc Kestecher,ESPN,"Snyder, Quin (UTA)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2020,COY
Chris Kirschner,The Athletic,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Scott Kushner,New Orleans Times Picayune,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Malone, Michael (DEN)",2020,COY
Brian Lewis,New York Post,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Zach Lowe,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Jackie MacMullan,ESPN,"Williams, Monty (PHX)","Snyder, Quin (UTA)","Thibodeau, Tom (NYK)",2020,COY
Brian Mahoney,Associated Press,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Rob Mahoney,The Ringer,"Williams, Monty (PHX)","Nash, Steve (BKN)","Thibodeau, Tom (NYK)",2020,COY
Chris Mannix,Sports Illustrated,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Diego Martinez,Reforma,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Jeff McDonald,San Antonio Express-News,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Dave McMenamin,ESPN,"Snyder, Quin (UTA)","Thibodeau, Tom (NYK)","Williams, Monty (PHX)",2020,COY
Mark Medina,USA Today,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Nash, Steve (BKN)",2020,COY
Yoko Miyaji,Sports Graphic Number,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Joe Mussatto,The Oklahoman,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Rivers, Doc (PHI)",2020,COY
Rachel Nichols,ESPN,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Kevin O'Connor,The Ringer,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
James Owczarski,Milwaukee Journal Sentinel,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Candace Parker,Turner,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Roy Parry,Orlando Sentinel,"Thibodeau, Tom (NYK)","Rivers, Doc (PHI)","McMillan, Nate (ATL)",2020,COY
Dave Pasch,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Kevin Pelton,ESPN,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Rivers, Doc (PHI)",2020,COY
Keith Pompey,Philadelphia Inquirer and Daily News,"Rivers, Doc (PHI)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Shaun Powell,NBA.com,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2020,COY
Duane Rankin,Arizona Republic,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Rivers, Doc (PHI)",2020,COY
Bill Reiter,CBSSports.com,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","McMillan, Nate (ATL)",2020,COY
Tim Reynolds,Associated Press,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Melissa Rohlin,Fox Sports,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Taylor Rooks,Bleacher Report,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Jalen Rose,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Simone Sandri,Gazzetta.it,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","McMillan, Nate (ATL)",2020,COY
Omari Sankofa,Detroit Free Press,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
John Schuhmann,NBA.com,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Guillermo Schutz,Televisa (TUDN),"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Dennis Scott,Turner,"Snyder, Quin (UTA)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2020,COY
Ramona Shelburne,ESPN,"Thibodeau, Tom (NYK)","Snyder, Quin (UTA)","Williams, Monty (PHX)",2020,COY
Bill Simmons,The Ringer,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Nash, Steve (BKN)",2020,COY
Mike Singer,Denver Post,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Malone, Michael (DEN)",2020,COY
Anthony Slater,The Athletic,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Doug Smith,The Toronto Star,"Snyder, Quin (UTA)","Thibodeau, Tom (NYK)","Williams, Monty (PHX)",2020,COY
Stephen Smith,ESPN,"Williams, Monty (PHX)","Thibodeau, Tom (NYK)","Snyder, Quin (UTA)",2020,COY
Steve Smith,Turner,"Thibodeau, Tom (NYK)","Williams, Monty (PHX)","Snyder, Quin (UTA)",2020,COY
Seerat Sohi,The Ringer,"Snyder, Quin (UTA)","Williams, Monty (PHX)","Thibodeau, Tom (NYK)",2020,COY
