Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Sam Amick,The Athletic,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Jason Anderson,Sacramento Bee,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Greg Anthony,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Kevin Arnovitz,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)",2020,ROY
Steve Aschburner,NBA.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Antoine Bancharel,Canal+ Afrique,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Renjun Bao,Tencent,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Evan Barnes,Memphis Commercial Appeal,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Jon Barry,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Rod Beard,Detroit News,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Howard Beck,Bleacher Report,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Marc Berman,New York Post,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Tim Bontemps,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Mike Breen,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Chris Broussard,Fox Sports,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Ric Bucher,Bleacher Report,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","White, Coby (CHI)",2020,ROY
Doris Burke,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Shams Charania,The Athletic/Stadium,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Anthony Chiang,Miami Herald,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Davide Chinellato,La Gazzetta dello Sport,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Joe Cowley,Chicago Sun-Times,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Nunn, Kendrick (MIA)",2020,ROY
Antoni Daimiel,Movistar+,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Dan Devine,The Ringer,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Davis, Terence (TOR)",2020,ROY
Amin Elhassan,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)",2020,ROY
Chris Fedor,Cleveland.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Mike Ganter,The Toronto Sun,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Vince Goodwill,Yahoo! Sports,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)",2020,ROY
Jared Greenberg,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
Will Guillory,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)",2020,ROY
