Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Sam Amick,The Athletic,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Jason Anderson,Sacramento Bee,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Greg Anthony,Turner,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Kevin Arnovitz,ESPN,"Harrell, Montrezl (LAC)","Wood, Christian (DET)","Schroder, Dennis (OKC)",2020,6th
Steve Aschburner,NBA.com,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Rose, Derrick (DET)",2020,6th
Antoine Bancharel,Canal+ Afrique,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Hill, George (MIL)",2020,6th
Renjun Bao,Tencent,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Evan Barnes,Memphis Commercial Appeal,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Jon Barry,ESPN,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2020,6th
Rod Beard,Detroit News,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Wood, Christian (DET)",2020,6th
Howard Beck,Bleacher Report,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Marc Berman,New York Post,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Howard, Dwight (LAL)",2020,6th
Tim Bontemps,ESPN,"Harrell, Montrezl (LAC)","Hill, George (MIL)","Schroder, Dennis (OKC)",2020,6th
Mike Breen,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Chris Broussard,Fox Sports,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Ric Bucher,Bleacher Report,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Rose, Derrick (DET)",2020,6th
Doris Burke,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Shams Charania,The Athletic/Stadium,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)",2020,6th
Anthony Chiang,Miami Herald,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Davide Chinellato,La Gazzetta dello Sport,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2020,6th
Joe Cowley,Chicago Sun-Times,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2020,6th
Antoni Daimiel,Movistar+,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Dan Devine,The Ringer,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Hill, George (MIL)",2020,6th
Amin Elhassan,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Chris Fedor,Cleveland.com,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Wood, Christian (DET)",2020,6th
Mike Ganter,The Toronto Sun,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Hill, George (MIL)",2020,6th
Vince Goodwill,Yahoo! Sports,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Jared Greenberg,Turner,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Dragic, Goran (MIA)",2020,6th
Will Guillory,The Athletic,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Kevin Harlan,Turner,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Zach Harper,The Athletic,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Dragic, Goran (MIA)",2020,6th
Chris Haynes,Yahoo! Sports,"Schroder, Dennis (OKC)","Williams, Lou (LAC)","Harrell, Montrezl (LAC)",2020,6th
Kurt Helin,NBCSports.com,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Rose, Derrick (DET)",2020,6th
Adam Himmelsbach,Boston Globe,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Chris Hine,Minneapolis Star Tribune,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Erik Horne,The Athletic,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Lisa Hsu,Tencent,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Wood, Christian (DET)",2020,6th
Cassidy Hubbarth,ESPN,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Kelly Iko,The Athletic,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
Frank Isola,Sirius Radio,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Mark Jackson,ESPN,"Schroder, Dennis (OKC)","Williams, Lou (LAC)","Harrell, Montrezl (LAC)",2020,6th
Ernie Johnson,Turner,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Mark Jones,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Dragic, Goran (MIA)",2020,6th
Fred Katz,The Athletic,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Hill, George (MIL)",2020,6th
Marc Kestecher,ESPN,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2020,6th
Chris Kirschner,The Athletic,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Nick Kosmider,The Athletic,"Schroder, Dennis (OKC)","Williams, Lou (LAC)","Harrell, Montrezl (LAC)",2020,6th
Andy Larsen,Salt Lake Tribune,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Hill, George (MIL)",2020,6th
Kristen Ledlow,Turner,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2020,6th
Connor Letourneau,San Francisco Chronicle,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Hill, George (MIL)",2020,6th
Greg Logan,Newsday,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)",2020,6th
Zach Lowe,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2020,6th
Coral Lu,ESPN-Tencent,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2020,6th
