Voter,Affiliation,1st,2nd,3rd,Year
Christos Tsaltas,SDNA.gr,"Clarkson, Jordan (UTA)","Anthony, Carmelo (POR)","Campazzo, Facundo (DEN)",2020
Olgun Uluc,ESPN Australia,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2020
Joe Vardon,The Athletic,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Rose, Derrick (NYK)",2020
Gary Washburn,Boston Globe,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Ingles, Joe (UTA)",2020
Michael Wilbon,ESPN,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Harrell, Montrezl (LAL)",2020
Brian Windhorst,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2020
Matt Winer,Turner,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Ingles, Joe (UTA)",2020
Ryan Wolstat,The Toronto Sun,"Rose, Derrick (NYK)","Ingles, Joe (UTA)","McConnell, T.J. (IND)",2020
Michael Wright,NBA.com,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2020
Royce Young,ESPN,"Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)","Ingles, Joe (UTA)",2020
Jeff Zillgitt,USA Today,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2020
