Voter,Affiliation,1st,2nd,3rd,Year
Dave McMenamin,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Mark Medina,USA Today,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Garland, Darius (CLE)",2020
Yoko Miyaji,Sports Graphic Number,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Joe Mussatto,The Oklahoman,"Randle, Julius (NYK)","Grant, Jerami (DET)","LaVine, Zach (CHI)",2020
Rachel Nichols,ESPN,"Randle, Julius (NYK)","Williamson, Zion (NOP)","Porter Jr., Michael (DEN)",2020
Kevin O'Connor,The Ringer,"Randle, Julius (NYK)","Wood, Christian (HOU)","Porter Jr., Michael (DEN)",2020
James Owczarski,Milwaukee Journal Sentinel,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
Candace Parker,Turner,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Roy Parry,Orlando Sentinel,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Dave Pasch,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bridges, Mikal (PHX)",2020
Kevin Pelton,ESPN,"Randle, Julius (NYK)","Poole, Jordan (GSW)","LaVine, Zach (CHI)",2020
Keith Pompey,Philadelphia Inquirer and Daily News,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Shaun Powell,NBA.com,"Randle, Julius (NYK)","Wood, Christian (HOU)","McConnell, T.J. (IND)",2020
Duane Rankin,Arizona Republic,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bridges, Mikal (PHX)",2020
Bill Reiter,CBSSports.com,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bridges, Mikal (PHX)",2020
Tim Reynolds,Associated Press,"Randle, Julius (NYK)","Boucher, Chris (TOR)","Grant, Jerami (DET)",2020
Melissa Rohlin,Fox Sports,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Taylor Rooks,Bleacher Report,"Randle, Julius (NYK)","Wood, Christian (HOU)","Grant, Jerami (DET)",2020
Jalen Rose,ESPN,"Randle, Julius (NYK)","Clarkson, Jordan (UTA)","Bridges, Mikal (PHX)",2020
Simone Sandri,Gazzetta.it,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Wood, Christian (HOU)",2020
Omari Sankofa,Detroit Free Press,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
John Schuhmann,NBA.com,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bridges, Mikal (PHX)",2020
Guillermo Schutz,Televisa (TUDN),"Randle, Julius (NYK)","Williamson, Zion (NOP)","Wood, Christian (HOU)",2020
Dennis Scott,Turner,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Bridges, Miles (CHA)",2020
Ramona Shelburne,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Bill Simmons,The Ringer,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Holmes, Richaun (SAC)",2020
Mike Singer,Denver Post,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Anthony Slater,The Athletic,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Brown, Jaylen (BOS)",2020
Doug Smith,The Toronto Star,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Stephen Smith,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Steve Smith,Turner,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Seerat Sohi,The Ringer,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
Daisuke Sugiura,Nihon Keizai Shimbun,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Mirjam Swanson,Southern California News Group,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
Maria Taylor,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Wiggins, Andrew (GSW)",2020
Justin Termine,Sirius Radio,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Bridges, Mikal (PHX)",2020
Brad Townsend,Dallas Morning News,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Christos Tsaltas,SDNA.gr,"Randle, Julius (NYK)","Grant, Jerami (DET)","LaVine, Zach (CHI)",2020
Olgun Uluc,ESPN Australia,"Randle, Julius (NYK)","Grant, Jerami (DET)","Wood, Christian (HOU)",2020
Joe Vardon,The Athletic,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Garland, Darius (CLE)",2020
Gary Washburn,Boston Globe,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Brown, Jaylen (BOS)",2020
Michael Wilbon,ESPN,"Randle, Julius (NYK)","Grant, Jerami (DET)","Porter Jr., Michael (DEN)",2020
Brian Windhorst,ESPN,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Brown, Jaylen (BOS)",2020
Matt Winer,Turner,"Randle, Julius (NYK)","Boucher, Chris (TOR)","Wood, Christian (HOU)",2020
Ryan Wolstat,The Toronto Sun,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Michael Wright,NBA.com,"Randle, Julius (NYK)","Porter Jr., Michael (DEN)","Grant, Jerami (DET)",2020
Royce Young,ESPN,"Randle, Julius (NYK)","Grant, Jerami (DET)","Ball, Lonzo (NOP)",2020
Jeff Zillgitt,USA Today,"Randle, Julius (NYK)","LaVine, Zach (CHI)","Porter Jr., Michael (DEN)",2020
