Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Jamal Collier,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
Antoni Daimiel,Movistar+,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Harden, James (BKN)",2020
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Williamson, Zion (NOP)","James, LeBron (LAL)","Gobert, Rudy (UTA)","George, Paul (LAC)","Irving, Kyrie (BKN)",2020
Chris Fedor,Cleveland.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Doncic, Luka (DAL)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2020
Joe Freeman,The Oregonian,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","Williamson, Zion (NOP)","Adebayo, Bam (MIA)","Beal, Bradley (WAS)","Booker, Devin (PHX)",2020
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Irving, Kyrie (BKN)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","George, Paul (LAC)",2020
Kyle Goon,Southern California News Group,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Irving, Kyrie (BKN)","Paul, Chris (PHX)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","George, Paul (LAC)","Beal, Bradley (WAS)",2020
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Doncic, Luka (DAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","Sabonis, Domantas (IND)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2020
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Booker, Devin (PHX)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2020
Kevin Harlan,Turner,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Randle, Julius (NYK)","James, LeBron (LAL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Harden, James (BKN)",2020
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Booker, Devin (PHX)",2020
Max Haupt,DPA,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (BKN)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2020
Chris Haynes,Yahoo! Sports,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Vucevic, Nikola (CHI)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2020
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Tatum, Jayson (BOS)","George, Paul (LAC)",2020
Adam Himmelsbach,Boston Globe,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Harden, James (BKN)",2020
Lisa Hsu,Tencent,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Durant, Kevin (BKN)","Gobert, Rudy (UTA)","Harden, James (BKN)","Mitchell, Donovan (UTA)",2020
Cassidy Hubbarth,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Adebayo, Bam (MIA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2020
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","James, LeBron (LAL)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Harden, James (BKN)",2020
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Doncic, Luka (DAL)","James, LeBron (LAL)","Embiid, Joel (PHI)","Westbrook, Russell (WAS)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Booker, Devin (PHX)","Irving, Kyrie (BKN)",2020
Mark Jackson,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Westbrook, Russell (WAS)","Doncic, Luka (DAL)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Davis, Anthony (LAL)","Beal, Bradley (WAS)","Paul, Chris (PHX)",2020
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","Sabonis, Domantas (IND)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2020
Jason Jones,The Athletic,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2020
Tony Jones,The Athletic,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Harden, James (BKN)","Paul, Chris (PHX)","Durant, Kevin (BKN)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Mitchell, Donovan (UTA)",2020
Fred Katz,The Athletic,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Beal, Bradley (WAS)",2020
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Doncic, Luka (DAL)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Young, Trae (ATL)",2020
Scott Kushner,New Orleans Times Picayune,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","George, Paul (LAC)","Capela, Clint (ATL)","Booker, Devin (PHX)","Mitchell, Donovan (UTA)",2020
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (BKN)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Durant, Kevin (BKN)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Paul, Chris (PHX)",2020
Zach Lowe,ESPN,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Westbrook, Russell (WAS)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)",2020
Rob Mahoney,The Ringer,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Harden, James (BKN)","George, Paul (LAC)",2020
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2020
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Irving, Kyrie (BKN)","Leonard, Kawhi (LAC)","Booker, Devin (PHX)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Lillard, Damian (POR)",2020
Jeff McDonald,San Antonio Express-News,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Capela, Clint (ATL)","Beal, Bradley (WAS)","Harden, James (BKN)",2020
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","James, LeBron (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2020
Mark Medina,USA Today,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Lillard, Damian (POR)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Harden, James (BKN)","Beal, Bradley (WAS)",2020
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Harden, James (BKN)","Beal, Bradley (WAS)",2020
Joe Mussatto,The Oklahoman,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","Williamson, Zion (NOP)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","George, Paul (LAC)",2020
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Harden, James (BKN)","Beal, Bradley (WAS)",2020
Kevin O'Connor,The Ringer,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2020
James Owczarski,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","George, Paul (LAC)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2020
Candace Parker,Turner,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)","Randle, Julius (NYK)","Booker, Devin (PHX)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Roy Parry,Orlando Sentinel,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","Williamson, Zion (NOP)","Sabonis, Domantas (IND)","Irving, Kyrie (BKN)","Lillard, Damian (POR)","Randle, Julius (NYK)","Butler, Jimmy (MIA)","Vucevic, Nikola (CHI)","LaVine, Zach (CHI)","Beal, Bradley (WAS)",2020
Dave Pasch,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Booker, Devin (PHX)","George, Paul (LAC)","Adebayo, Bam (MIA)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2020
Kevin Pelton,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","George, Paul (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Doncic, Luka (DAL)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Paul, Chris (PHX)",2020
Keith Pompey,Philadelphia Inquirer and Daily News,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Randle, Julius (NYK)","James, LeBron (LAL)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Paul, Chris (PHX)","George, Paul (LAC)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Westbrook, Russell (WAS)",2020
