Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Bill Simmons,The Ringer,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
Mike Singer,Denver Post,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","George, Paul (LAC)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2020
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
Stephen Smith,ESPN,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2020
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","George, Paul (LAC)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2020
Seerat Sohi,The Ringer,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Beal, Bradley (WAS)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Booker, Devin (PHX)","Mitchell, Donovan (UTA)",2020
Daisuke Sugiura,Nihon Keizai Shimbun,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","James, LeBron (LAL)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Tatum, Jayson (BOS)",2020
Mirjam Swanson,Southern California News Group,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","George, Paul (LAC)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Harden, James (BKN)",2020
Maria Taylor,ESPN,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Williamson, Zion (NOP)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","George, Paul (LAC)","Mitchell, Donovan (UTA)",2020
Justin Termine,Sirius Radio,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Williamson, Zion (NOP)","Capela, Clint (ATL)","Booker, Devin (PHX)","Beal, Bradley (WAS)",2020
Brad Townsend,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Christos Tsaltas,SDNA.gr,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Westbrook, Russell (WAS)","Curry, Stephen (GSW)","Adebayo, Bam (MIA)","Durant, Kevin (BKN)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Capela, Clint (ATL)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2020
Olgun Uluc,ESPN Australia,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Capela, Clint (ATL)","Beal, Bradley (WAS)","Harden, James (BKN)",2020
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2020
Gary Washburn,Boston Globe,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Beal, Bradley (WAS)","Durant, Kevin (BKN)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Paul, Chris (PHX)","Westbrook, Russell (WAS)",2020
Michael Wilbon,ESPN,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Harden, James (BKN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2020
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Butler, Jimmy (MIA)",2020
Matt Winer,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
Ryan Wolstat,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Williamson, Zion (NOP)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","James, LeBron (LAL)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","George, Paul (LAC)","Irving, Kyrie (BKN)",2020
Michael Wright,NBA.com,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Harden, James (BKN)","Irving, Kyrie (BKN)",2020
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (WAS)","Tatum, Jayson (BOS)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2020
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
