Voter,Affiliation,1st,2nd,3rd,4th,5th,Year
Ailene Voisin,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Amin Elhassan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)",2017
Andrew Sharp,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2017
Anthony Slater,The Athletic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Ben Golliver,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Bill Oram,Orange County Register,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Bill Simmons,The Ringer,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Oladipo, Victor (IND)",2017
Brent Barry,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)",2017
Brett Dawson,The Oklahoman,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Brian Mahoney,Associated Press,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2017
Brian Windhorst,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Cassidy Hubbarth,ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Chase Hughes,NBCSportsWashington.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2017
Chris Broussard,Fox Sports,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2017
Chris Haynes,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2017
Chris Mannix,Yahoo!,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2017
Chris Webber,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)","Davis, Anthony (NOP)",2017
Clifton Brown,Indianapolis Star,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Connor Letourneau,San Francisco Chronicle,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Dave McMenamin,ESPN.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
David Aldridge,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)",2017
Davide Chinellato,La Gazzetta dello Sport,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Dennis Scott,Turner,"Harden, James (HOU)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2017
Diego Cabrera,Periódico Reforma,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)",2017
Doris Burke,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Eddie Sefko,Dallas Morning News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2017
Elliott Teaford,Southern California News Group,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Ernie Johnson,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)",2017
Flavio Tranquillo,Sky Italia,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2017
Frank Isola,Sirius Radio/New York Daily News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2017
Gary Washburn,Boston Globe,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)",2017
Gina Mizell,Denver Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Greg Anthony,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2017
Greg Logan,Newsday,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2017
Howard Beck,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2017
Jackie MacMullan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2017
Jalen Rose,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2017
Jared Greenberg,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2017
Jason Jones,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Jason Lloyd,The Athletic,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2017
Jason Quick,NBC Sports Northwest,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2017
Jeff McDonald,San Antonio Express‐News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Jeff Zillgitt,USA Today,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)",2017
Jerry Zgoda,Minneapolis Star Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2017
Joe Cowley,Chicago Sun‐Times,"James, LeBron (CLE)","Harden, James (HOU)","Butler, Jimmy (MIN)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)",2017
John Schuhmann,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Jon Barry,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Justin Termine,Sirius Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2017
KC Johnson,Chicago Tribune,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Keith Pompey,Philadelphia Inquirer,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2017
Kevin Arnovitz,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Kevin Harlan,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2017
Kevin O'Connor,The Ringer,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)",2017
Kevin Pelton,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Westbrook, Russell (OKC)",2017
Kristen Ledlow,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2017
Kurt Helin,NBCSports.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Lee Jenkins,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2017
Lisa Yang,Tencent,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2017
Manny Navarro,Miami Herald,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Marc Berman,New York Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2017
Marc Kestecher,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Mark Jackson,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2017
Marv Albert,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)",2017
Matt Velazquez,Milwaukee Journal Sentinel,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Matt Winer,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Michael Grange,Rogers Sportsnet,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)",2017
Michael Wilbon,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Michelle Beadle,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Mike Breen,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Mike Ganter,Toronto Sun,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","DeRozan, DeMar (TOR)",2017
Fans,N/A,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)",2017
Nira Khurana,Excelsior,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2017
Paul Flannery,SB Nation,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2017
Rachel Nichols,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Ramona Shelburne,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2017
Reggie Miller,Turner,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Ric Bucher,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Davis, Anthony (NOP)",2017
Richard Walker,Gaston Gazette,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2017
Rob Mahoney,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Rod Beard,Detroit News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Ron Tillery,Memphis Commercial Appeal,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2017
Rosalyn Gold‐Onwude,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2017
Royce Young,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2017
Sam Amick,USA Today,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2017
Scott Bordow,Arizona Republic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2017
Sean Deveney,The Sporting News,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)",2017
Sekou Smith,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2017
Sherrod Blakely,NBC Sports Boston,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2017
Stefan Bondy,New York Daily News,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2017
Steve Aschburner,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2017
Steve Smith,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2017
Thales Soares,Globoesporte.com,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)",2017
Tim Reynolds,Associated Press,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2017
