Voter,Affiliation,1st,2nd,3rd,Year
Kevin Arnovitz,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Kevin Harlan,Turner,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)",2017
Kevin O'Connor,The Ringer,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Kevin Pelton,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Nurkic, Jusuf (POR)",2017
Kristen Ledlow,Turner,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Kurt Helin,NBCSports.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Lee Jenkins,Sports Illustrated,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2017
Lisa Yang,Tencent,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Manny Navarro,Miami Herald,"Davis, Anthony (NOP)","Brown, Jaylen (BOS)","Gobert, Rudy (UTA)",2017
Marc Berman,New York Post,"Gobert, Rudy (UTA)","Durant, Kevin (GSW)","George, Paul (OKC)",2017
Marc Kestecher,ESPN Radio,"Gobert, Rudy (UTA)","George, Paul (OKC)","Embiid, Joel (PHI)",2017
Mark Jackson,ABC/ESPN,"George, Paul (OKC)","Gobert, Rudy (UTA)","Davis, Anthony (NOP)",2017
Marv Albert,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2017
Matt Velazquez,Milwaukee Journal Sentinel,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Matt Winer,Turner,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2017
Michael Grange,Rogers Sportsnet,"Horford, Al (BOS)","Davis, Anthony (NOP)","Covington, Robert (PHI)",2017
Michael Wilbon,ABC/ESPN,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Michelle Beadle,ABC/ESPN,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","George, Paul (OKC)",2017
Mike Breen,ABC/ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Mike Ganter,Toronto Sun,"Gobert, Rudy (UTA)","Horford, Al (BOS)","George, Paul (OKC)",2017
Fans,N/A,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Nira Khurana,Excelsior,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Paul Flannery,SB Nation,"Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Covington, Robert (PHI)",2017
Rachel Nichols,ABC/ESPN,"Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Davis, Anthony (NOP)",2017
Ramona Shelburne,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
