Voter,Affiliation,1st,2nd,3rd,Year
Ailene Voisin,Sacramento Bee,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Amin Elhassan,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)",2017
Andrew Sharp,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Anthony Slater,The Athletic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Ben Golliver,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Bill Oram,Orange County Register,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Bill Simmons,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Brent Barry,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Brett Dawson,The Oklahoman,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Brian Mahoney,Associated Press,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Brian Windhorst,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Cassidy Hubbarth,ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Chase Hughes,NBCSportsWashington.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Chris Broussard,Fox Sports,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Chris Haynes,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Chris Mannix,Yahoo!,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Chris Webber,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Clifton Brown,Indianapolis Star,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Connor Letourneau,San Francisco Chronicle,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Dave McMenamin,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
David Aldridge,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Davide Chinellato,La Gazzetta dello Sport,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Dennis Scott,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Diego Cabrera,Periódico Reforma,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)",2017
Doris Burke,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Eddie Sefko,Dallas Morning News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Smith Jr., Dennis (DAL)",2017
Elliott Teaford,Southern California News Group,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Ernie Johnson,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Flavio Tranquillo,Sky Italia,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)",2017
Frank Isola,Sirius Radio/New York Daily News,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Gina Mizell,Denver Post,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Greg Anthony,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Greg Logan,Newsday,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Howard Beck,Bleacher Report,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jackie MacMullan,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jalen Rose,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jared Greenberg,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jason Jones,Sacramento Bee,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Kuzma, Kyle (LAL)",2017
Jason Lloyd,The Athletic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jason Quick,NBC Sports Northwest,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Jeff McDonald,San Antonio Express‐News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jeff Zillgitt,USA Today,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jerry Zgoda,Minneapolis Star Tribune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Joe Cowley,Chicago Sun‐Times,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
John Schuhmann,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Jon Barry,ESPN Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Justin Termine,Sirius Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
KC Johnson,Chicago Tribune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Keith Pompey,Philadelphia Inquirer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Kevin Arnovitz,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Kevin Harlan,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Kevin O'Connor,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Kevin Pelton,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Kristen Ledlow,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Kurt Helin,NBCSports.com,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Lee Jenkins,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Lisa Yang,Tencent,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Manny Navarro,Miami Herald,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Marc Berman,New York Post,"Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Simmons, Ben (PHI)",2017
Marc Kestecher,ESPN Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Mark Jackson,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Marv Albert,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Matt Velazquez,Milwaukee Journal Sentinel,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Matt Winer,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Michael Grange,Rogers Sportsnet,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Michael Wilbon,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Michelle Beadle,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Mike Breen,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Mike Ganter,Toronto Sun,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Fans,N/A,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Nira Khurana,Excelsior,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Paul Flannery,SB Nation,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Rachel Nichols,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Ramona Shelburne,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Reggie Miller,Turner,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Ric Bucher,Bleacher Report,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Richard Walker,Gaston Gazette,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Rob Mahoney,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Rod Beard,Detroit News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Ron Tillery,Memphis Commercial Appeal,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Rosalyn Gold‐Onwude,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Royce Young,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Sam Amick,USA Today,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Scott Bordow,Arizona Republic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Sean Deveney,The Sporting News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Sekou Smith,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Sherrod Blakely,NBC Sports Boston,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
Stefan Bondy,New York Daily News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Steve Aschburner,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Steve Smith,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Thales Soares,Globoesporte.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Tim Reynolds,Associated Press,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
TJ Manotoc,ABS‐CBN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2017
Tony Jones,Salt Lake Tribune,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2017
