Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Green, Draymond -- GS",2014
Al Iannazzone,Newsday,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2014
Alan Horton,WCCO 830-AM,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Andre Aldridge,Fox Sports South,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2014
Anthony Slater,Oklahoman,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2014
Antonio Harvey,Fox Sports Radio/620AM,"Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL","Leonard, Meyers -- POR",2014
Bill Land,Fox Sports Southwest,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2014
Bill Oram,Orange County Register,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2014
Bill Reiter,Foxsports.com,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Gobert, Rudy -- UTA",2014
Bill Schoening,WOAI Radio,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Bill Simmons,Grantland,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI",2014
Bill Wennington,WMVP AM 1000,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2014
Bill Worrell,Root Sports Southwest,"Green, Draymond -- GS","Motiejunas, Donatas -- HOU","Butler, Jimmy -- CHI",2014
Bob Cooney,Philadelphia Daily News,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2014
Bob Rathbun,Fox Sports South,"Gobert, Rudy -- UTA","Schroder, Dennis -- ATL","Green, Draymond -- GS",2014
Brian Davis,Fox Sports Oklahoma,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL",2014
Brian Sieman,The Beast 980 AM FM,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Whiteside, Hassan -- MIA",2014
Brian Windhorst,ESPN.com,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Irving, Kyrie -- CLE",2014
Candace Buckner,Indianapolis Star,"Thompson, Klay -- GS","Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC",2014
Cedric Maxwell,WEEI Radio,"Carroll, DeMarre -- ATL","Crowder, Jae -- BOS","Irving, Kyrie -- CLE",2014
Charles Gardner,Milwaukee Journal Sentinel,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2014
Chris Broussard,ESPN The Magazine,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Antetokounmpo, Giannis -- MIL",2014
Chris Dempsey,Denver Post,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL",2014
Chris Denari,Fox Sports Indiana,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2014
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Covington, Robert -- PHI",2014
Chris Mannix,Sports Illustrated,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2014
Chris Marlowe,Altitude Sports & Entertainment,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Chris Sheridan,Sheridanhoops.com,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Thompson, Klay -- GS",2014
Chuck Cooperstein,ESPN 103.3,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Craig Ackerman,Sportstalk 790 AM,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2014
Dan Woike,Orange County Register,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Whiteside, Hassan -- MIA",2014
Dave Johnson,106.7 The Fan,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Schroder, Dennis -- ATL",2014
Dave McMenamin,ESPN.com,"Gobert, Rudy -- UTA","Green, Draymond -- GS","Butler, Jimmy -- CHI",2014
David Aldridge,TNT,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Hill, George -- IND",2014
David Mayo,Mlive Media Group,"Green, Draymond -- GS","Whiteside, Hassan -- MIA","Gobert, Rudy -- UTA",2014
David Steele,Fox Sports Florida,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2014
