Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Aaron Falk,Salt Lake Tribune,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Paul, Chris -- LAC","Duncan, Tim -- SA","Davis, Anthony -- NO","Bogut, Andrew -- GS","Wall, John -- WAS","Butler, Jimmy -- CHI",2014
Adrian Chavarria,KEYH 850 AM,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","James, LeBron -- CLE","Gasol, Pau -- CHI","Gasol, Marc -- MEM","Wall, John -- WAS","Westbrook, Russell -- OKC",2014
Alan Horton,WCCO 830-AM,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Wall, John -- WAS","Paul, Chris -- LAC",2014
Andre Aldridge,Fox Sports South,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Carroll, DeMarre -- ATL","Bogut, Andrew -- GS","Wall, John -- WAS","Butler, Jimmy -- CHI",2014
Andy Vasquez,Bergen Record,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Green, Danny -- SA","Wall, John -- WAS",2014
Anthony Slater,Oklahoman,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Duncan, Tim -- SA","James, LeBron -- CLE","Gobert, Rudy -- UTA","Beverley, Patrick -- HOU","Middleton, Khris -- MIL",2014
Antonio Harvey,Fox Sports Radio/620AM,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Green, Draymond -- GS","Ariza, Trevor -- HOU","Gasol, Marc -- MEM","Matthews, Wesley -- POR","Rondo, Rajon -- DAL",2014
Bill Land,Fox Sports Southwest,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Butler, Jimmy -- CHI","Duncan, Tim -- SA","Ariza, Trevor -- HOU","Bogut, Andrew -- GS","Wall, John -- WAS","Beverley, Patrick -- HOU",2014
Bill Oram,Orange County Register,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Duncan, Tim -- SA","Antetokounmpo, Giannis - Mil","Bogut, Andrew -- GS","Wall, John -- WAS","Paul, Chris -- LAC",2014
Bill Reiter,Foxsports.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Paul, Chris -- LAC","Butler, Jimmy -- CHI","James, LeBron -- CLE","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Wall, John -- WAS",2014
Bill Schoening,WOAI Radio,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Beverley, Patrick -- HOU","Allen, Tony -- MEM","Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Hill, George - IND",2014
