Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"Iguodala, Andre -- GS","Kanter, Enes -- OKC","Barton, Will -- DEN",2015
Adam Himmelsbach,Boston Globe,"Kanter, Enes -- OKC","Iguodala, Andre -- GS","Turner, Evan -- BOS",2015
Alan Horton,WCCO 830-AM,"Iguodala, Andre -- GS","Crawford, Jamal -- LAC","Turner, Evan -- BOS",2015
Andre Aldridge,Fox Sports South,"Crawford, Jamal -- LAC","Barton, Will -- DEN","Kanter, Enes -- OKC",2015
Andy Vasquez,Bergen Record,"Iguodala, Andre -- GS","Davis, Ed -- POR","Kanter, Enes -- OKC",2015
Antonio Harvey,Fox Sports Radio/620AM,"Barton, Will -- DEN","Crawford, Jamal -- LAC","Anderson, Ryan -- NOP",2015
Bill Land,Fox Sports Southwest,"Iguodala, Andre -- GS","Barton, Will -- DEN","Turner, Evan -- BOS",2015
Bill Oram,Orange County Register,"Iguodala, Andre -- GS","Barton, Will -- DEN","Crawford, Jamal -- LAC",2015
Bill Reiter,CBSSports.com,"Barton, Will -- DEN","Iguodala, Andre -- GS","Kanter, Enes -- OKC",2015
Bill Schoening,WOAI Radio,"Kanter, Enes -- OKC","Barton, Will -- DEN","Turner, Evan -- BOS",2015
Bill Simmons,Bill Simmons Podcast/HBO,"Iguodala, Andre -- GS","Barton, Will -- DEN","Livingston, Shaun -- GS",2015
Bill Worrell,Root Sports Southwest,"Anderson, Ryan -- NOP","Iguodala, Andre -- GS","Crawford, Jamal -- LAC",2015
Bob Rathbun,Fox Sports South,"Iguodala, Andre -- GS","Turner, Evan -- BOS","Schroder, Dennis -- ATL",2015
Brian Davis,Fox Sports Oklahoma,"Kanter, Enes -- OKC","Crawford, Jamal -- LAC","Iguodala, Andre -- GS",2015
Brian Mahoney,Associated Press,"Crawford, Jamal -- LAC","Iguodala, Andre -- GS","Lin, Jeremy -- CHA",2015
Brian Scalabrine,Comcast SportsNet New England,"Crawford, Jamal -- LAC","Diaw, Boris -- SA","Livingston, Shaun -- GS",2015
Brian Sieman,The Beast 980,"Crawford, Jamal -- LAC","Anderson, Ryan -- NOP","Kanter, Enes -- OKC",2015
Brian Windhorst,ESPN.com,"Iguodala, Andre -- GS","Kanter, Enes -- OKC","Crawford, Jamal -- LAC",2015
Calvin Watkins,ESPN.com Houston,"Crawford, Jamal -- LAC","Iguodala, Andre -- GS","Kanter, Enes -- OKC",2015
Charles Gardner,Milwaukee Journal Sentinel,"Barton, Will -- DEN","Kanter, Enes -- OKC","Iguodala, Andre -- GS",2015
Chris Broussard,ESPN,"Crawford, Jamal -- LAC","Kanter, Enes -- OKC","Holiday, Jrue -- NOP",2015
Chris Carrino,WFAN (660),"Iguodala, Andre -- GS","Crawford, Jamal -- LAC","Lin, Jeremy -- CHA",2015
Chris Dempsey,Denver Post,"Kanter, Enes -- OKC","Crawford, Jamal -- LAC","Barton, Will -- DEN",2015
Chris Denari,Fox Sports Indiana,"Crawford, Jamal -- LAC","Iguodala, Andre -- GS","Barton, Will -- DEN",2015
