Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015
Adam Himmelsbach,Boston Globe,"McCollum, CJ -- POR","Leonard, Kawhi -- SA","Crowder, Jae -- BOS",2015
Alan Horton,WCCO 830-AM,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015
Andre Aldridge,Fox Sports South,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Crowder, Jae -- BOS",2015
Anthony Slater,The Oklahoman,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Curry, Stephen -- GS",2015
Bill Land,Fox Sports Southwest,"McCollum, CJ -- POR","Curry, Stephen -- GS","Leonard, Kawhi -- SA",2015
Bill Oram,Orange County Register,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Barton, Will -- DEN",2015
Bill Reiter,CBSSports.com,"McCollum, CJ -- POR","Barton, Will -- DEN","Crowder, Jae -- BOS",2015
Bill Schoening,WOAI Radio,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015
Bill Simmons,Bill Simmons Podcast/HBO,"McCollum, CJ -- POR","Barton, Will -- DEN","Walker, Kemba -- CHA",2015
Bob Fitzgerald,Comcast SportsNet Bay Area,"McCollum, CJ -- POR","Green, Draymond -- GS","Walker, Kemba -- CHA",2015
Bob Rathbun,Fox Sports South,"Curry, Stephen -- GS","McCollum, CJ -- POR","Walker, Kemba -- CHA",2015
Brendan Brown,MSG Network,"McCollum, CJ -- POR","Barton, Will -- DEN","Crowder, Jae -- BOS",2015
Brian Mahoney,Associated Press,"Green, Draymond -- GS","Walker, Kemba -- CHA","McCollum, CJ -- POR",2015
Brian Scalabrine,Comcast SportsNet New England,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Thomas, Isaiah -- BOS",2015
Brian Windhorst,ESPN.com,"Leonard, Kawhi -- SA","Curry, Stephen -- GS","Barton, Will -- DEN",2015
Candace Buckner,Indianapolis Star,"Walker, Kemba -- CHA","McCollum, CJ -- POR","Crowder, Jae -- BOS",2015
Charles Gardner,Milwaukee Journal Sentinel,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Walker, Kemba -- CHA",2015
Chris Broussard,ESPN,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015
Chris Carrino,WFAN (660),"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Walker, Kemba -- CHA",2015
Chris Denari,Fox Sports Indiana,"McCollum, CJ -- POR","Barton, Will -- DEN","Mahinmi, Ian -- IND",2015
Chris Marlowe,Altitude Sports & Entertainment,"McCollum, CJ -- POR","Barton, Will -- DEN","Curry, Stephen -- GS",2015
Chris Sheridan,Sheridanhoops.com,"McCollum, CJ -- POR","Curry, Stephen -- GS","Antetokounmpo, Giannis -- MIL",2015
Chuck Cooperstein,ESPN 103.3,"McCollum, CJ -- POR","Whiteside, Hassan -- MIA","Walker, Kemba -- CHA",2015
Chuck Swirsky,ESPN AM 1000,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Walker, Kemba -- CHA",2015
Craig Ackerman,Sportstalk 790 AM,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Crowder, Jae -- BOS",2015
Dan Woike,Orange County Register,"Walker, Kemba -- CHA","McCollum, CJ -- POR","Barton, Will -- DEN",2015
Dante Marchitelli,Fox Sports Florida,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Crowder, Jae -- BOS",2015
Dave Johnson,106.7 The Fan,"McCollum, CJ -- POR","Green, Draymond -- GS","Walker, Kemba -- CHA",2015
David Aldridge,TNT,"Curry, Stephen -- GS","Antetokounmpo, Giannis -- MIL","McCollum, CJ -- POR",2015
David Mayo,Mlive Media Group,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Jackson, Reggie -- DET",2015
David Wesley,Fox Sports New Orleans,"Barton, Will -- DEN","Curry, Stephen -- GS","Antetokounmpo, Giannis -- MIL",2015
Dennis Neumann,ESPN 580 AM,"McCollum, CJ -- POR","Green, Draymond -- GS","Thomas, Isaiah -- BOS",2015
Doris Burke,ESPN,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Curry, Stephen -- GS",2015
Doug Smith,The Toronto Star,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Mahinmi, Ian -- IND",2015
Dwain Price,Ft. Worth Star Telegam,"McCollum, CJ -- POR","Whiteside, Hassan -- MIA","Crowder, Jae -- BOS",2015
Eddie Johnson,Fox Sports Arizona,"McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL","Whiteside, Hassan -- MIA",2015
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"McCollum, CJ -- POR","Thomas, Isaiah -- BOS","Whiteside, Hassan -- MIA",2015
Eric Smith,TSN 1050/Sportsnet 590 The Fan,"McCollum, CJ -- POR","Green, Draymond -- GS","Curry, Stephen -- GS",2015
Ernie Johnson,TNT,"McCollum, CJ -- POR","Drummond, Andre -- DET","Antetokounmpo, Giannis -- MIL",2015
Fran Blinebury,NBA.com,"McCollum, CJ -- POR","Thomas, Isaiah -- BOS","Leonard, Kawhi -- SA",2015
Frank Isola,Sirius Radio/New York Daily News,"Walker, Kemba -- CHA","Green, Draymond -- GS","McCollum, CJ -- POR",2015
Fred McLeod,Fox Sports Ohio,"McCollum, CJ -- POR","Barton, Will -- DEN","Antetokounmpo, Giannis -- MIL",2015
Gary Gerould,Comcast SportsNet-CA,"McCollum, CJ -- POR","Walker, Kemba -- CHA","Antetokounmpo, Giannis -- MIL",2015
Gary Washburn,Boston Globe,"McCollum, CJ -- POR","Whiteside, Hassan -- MIA","Barton, Will -- DEN",2015
Glenn Consor,106.7 The Fan,"Walker, Kemba -- CHA","McCollum, CJ -- POR","Antetokounmpo, Giannis -- MIL",2015
