Voter,Affiliation,1st,2nd,3rd,Year,Award
Scott Agness,The Athletic,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Marv Albert,Turner Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Sam Amick,The Athletic,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Jason Anderson,Sacramento Bee,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Greg Anthony,Turner Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Kevin Arnovitz,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Steve Aschburner,NBA.com,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Jon Barry,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Michelle Beadle,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Dinwiddie, Spencer (BKN)",2018,6th
Rod Beard,Detroit News,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Sabonis, Domantas (IND)",2018,6th
Howard Beck,Bleacher Report,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
A. Blakely,NBC Sports Boston,"Williams, Lou (LAC)","Ross, Terrence (ORL)","Sabonis, Domantas (IND)",2018,6th
Stefan Bondy,New York Daily News,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Rose, Derrick (MIN)",2018,6th
Tim Bontemps,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Iguodala, Andre (GSW)",2018,6th
Mike Breen,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Chris Broussard,Fox Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Dinwiddie, Spencer (BKN)",2018,6th
Ric Bucher,Bleacher Report,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Doris Burke,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Dave Campbell,Associated Press,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Anthony Chiang,Miami Herald,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
David Cobb,Memphis Commercial Appeal,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Bertans, Davis (SAS)",2018,6th
Sean Deveney,The Sporting News,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Dinwiddie, Spencer (BKN)",2018,6th
Amin Elhassan,ESPN,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Sabonis, Domantas (IND)",2018,6th
Paul Flannery,SB Nation,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Reid Forgrave,CBSSports.com,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)",2018,6th
Joe Freeman,The Oregonian,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Rosalyn Gold‐Onwude,Turner,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Vince Goodwill,Yahoo! Sports,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Wade, Dwyane (MIA)",2018,6th
Michael Grange,Rogers Sportsnet,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Sabonis, Domantas (IND)",2018,6th
Jared Greenberg,Turner Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Will Guillory,The Athletic,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Kevin Harlan,Turner Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Zach Harper,The Athletic,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Ross, Terrence (ORL)",2018,6th
Chris Haynes,Yahoo! Sports,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Dinwiddie, Spencer (BKN)",2018,6th
Kurt Helin,NBCSports.com,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Erik Horne,The Oklahoman,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Lisa Hsu,Tencent,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Cassidy Hubbarth,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Kelly Iko,The Athletic,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Frank Isola,Sirius Radio/The Athletic,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Sabonis, Domantas (IND)",2018,6th
Mark Jackson,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
K.C. Johnson,Chicago Tribune,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Dinwiddie, Spencer (BKN)",2018,6th
Mark Jones,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Dinwiddie, Spencer (BKN)",2018,6th
Fred Katz,The Athletic,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Marc Kestecher,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Nira Khurana,Perform,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Kennegh Lau,BesTV,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Crowder, Jae (UTA)",2018,6th
Kristen Ledlow,Turner Sports,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Brian Lewis,New York Post,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Dinwiddie, Spencer (BKN)",2018,6th
Massimo Pegna,La Gazzetta dello Sport,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Dinwiddie, Spencer (BKN)",2018,6th
Zach Lowe,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Tim MacMahon,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Jackie MacMullan,ESPN,"Sabonis, Domantas (IND)","Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)",2018,6th
Brian Mahoney,Associated Press,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Rob Mahoney,Sports Illustrated,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Maxime Malet,L'Equipe,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Ross, Terrence (ORL)",2018,6th
Chris Mannix,Sports Illustrated,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Diego Martinez,Reforma,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Rose, Derrick (MIN)",2018,6th
Jeff McDonald,San Antonio Express‐News,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Dave McMenamin,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Wade, Dwyane (MIA)",2018,6th
Reggie Miller,Turner Sports,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Rachel Nichols,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Kevin O'Connor,The Ringer,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Morris, Monte (DEN)",2018,6th
Bill Oram,The Athletic,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Dave Pasch,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Kevin Pelton,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Iguodala, Andre (GSW)",2018,6th
Keith Pompey,Philadelphia Inqurier and Daily News,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Sabonis, Domantas (IND)",2018,6th
Duane Rankin,Arizona Republic,"Williams, Lou (LAC)","Rose, Derrick (MIN)","Sabonis, Domantas (IND)",2018,6th
Tim Reynolds,Associated Press,"Williams, Lou (LAC)","Wade, Dwyane (MIA)","Sabonis, Domantas (IND)",2018,6th
Josh Robbins,The Athletic,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Ross, Terrence (ORL)",2018,6th
Jalen Rose,ESPN,"Williams, Lou (LAC)","Rose, Derrick (MIN)","Harrell, Montrezl (LAC)",2018,6th
John Schuhmann,NBA.com,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Guillermo Schutz,Televisa,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Dennis Scott,Turner Sports,"Williams, Lou (LAC)","Ross, Terrence (ORL)","Beasley, Malik (DEN)",2018,6th
Andrew Sharp,Sports Illustrated,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Ramona Shelburne,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Bill Simmons,The Ringer,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Mike Singer,Denver Post,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Anthony Slater,The Athletic,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Harrell, Montrezl (LAC)",2018,6th
Doug Smith,Toronto Star,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Sekou Smith,NBA.com,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Steve Smith,Turner Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Casey Stern,Turner Sports,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Harrell, Montrezl (LAC)",2018,6th
Mirjam Swanson,Southern California News Group,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Justin Termine,Sirius Radio,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Flavio Tranquillo,Sky Italia,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Olgun Uluc,Fox Sports Australia,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Sabonis, Domantas (IND)",2018,6th
Joe Vardon,The Athletic,"Williams, Lou (LAC)","Rose, Derrick (MIN)","Wade, Dwyane (MIA)",2018,6th
Matt Velazquez,Milwaukee Journal Sentinel,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Morris, Monte (DEN)",2018,6th
Andre Voigt,DAZN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
Richard Walker,Gaston Gazette,"Schroder, Dennis (OKC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Gary Washburn,Boston Globe,"Williams, Lou (LAC)","Ross, Terrence (ORL)","Harrell, Montrezl (LAC)",2018,6th
Michael Wilbon,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Brian Windhorst,ESPN,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Wade, Dwyane (MIA)",2018,6th
Matt Winer,Turner Sports,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Ryan Wolstat,Toronto Sun,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Davis, Ed (BKN)",2018,6th
Eric Woodyard,Deseret News,"Williams, Lou (LAC)","Dinwiddie, Spencer (BKN)","Morris, Monte (DEN)",2018,6th
Royce Young,ESPN,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Harrell, Montrezl (LAC)",2018,6th
Weiping Zhang,CCTV,"Williams, Lou (LAC)","Sabonis, Domantas (IND)","Wade, Dwyane (MIA)",2018,6th
Jeff Zillgitt,USA Today,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Sabonis, Domantas (IND)",2018,6th
