Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Scott Agness,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Thompson, Klay (GSW)",2018,All-NBA
Marv Albert,Turner Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Thompson, Klay (GSW)",2018,All-NBA
Sam Amick,The Athletic,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BOS)",2018,All-NBA
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)",Incomplete Ballot,"Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Thompson, Klay (GSW)",2018,All-NBA
Greg Anthony,Turner Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","George, Paul (OKC)","Aldridge, LaMarcus (SAS)","Towns, Karl-Anthony (MIN)","Walker, Kemba (CHA)","Westbrook, Russell (OKC)",2018,All-NBA
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Griffin, Blake (DET)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Conley, Mike (MEM)","Beal, Bradley (WAS)",2018,All-NBA
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Leonard, Kawhi (TOR)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)",2018,All-NBA
Jon Barry,ESPN,"Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","James, LeBron (LAL)","Towns, Karl-Anthony (MIN)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)",2018,All-NBA
Michelle Beadle,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","Harris, Tobias (PHI)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Gordon, Eric (HOU)",2018,All-NBA
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Griffin, Blake (DET)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","Leonard, Kawhi (TOR)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (OKC)",2018,All-NBA
