Voter,Affiliation,1st,2nd,3rd,Year,Award
Scott Agness,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2018,COY
Marv Albert,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Sam Amick,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Jason Anderson,Sacramento Bee,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2018,COY
Greg Anthony,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)",2018,COY
Kevin Arnovitz,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2018,COY
Steve Aschburner,NBA.com,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Jon Barry,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2018,COY
Michelle Beadle,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Atkinson, Kenny (Brooklyn Nets)",2018,COY
Rod Beard,Detroit News,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2018,COY
Howard Beck,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)","Rivers, Doc (LA Clippers)",2018,COY
A. Blakely,NBC Sports Boston,"Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2018,COY
Stefan Bondy,New York Daily News,"Malone, Mike (Denver Nuggets)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2018,COY
Tim Bontemps,ESPN,"Joerger, David (Sacramento Kings)","Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)",2018,COY
Mike Breen,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Chris Broussard,Fox Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Ric Bucher,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)",2018,COY
Doris Burke,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2018,COY
Dave Campbell,Associated Press,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Anthony Chiang,Miami Herald,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Rivers, Doc (LA Clippers)",2018,COY
David Cobb,Memphis Commercial Appeal,"Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2018,COY
Sean Deveney,The Sporting News,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Amin Elhassan,ESPN,"Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)",2018,COY
Paul Flannery,SB Nation,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2018,COY
Reid Forgrave,CBSSports.com,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2018,COY
Joe Freeman,The Oregonian,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2018,COY
Rosalyn Gold‐Onwude,Turner,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2018,COY
Vince Goodwill,Yahoo! Sports,"McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Michael Grange,Rogers Sportsnet,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Nurse, Nick (Toronto Raptors)",2018,COY
Jared Greenberg,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Will Guillory,The Athletic,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2018,COY
Kevin Harlan,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2018,COY
Zach Harper,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2018,COY
Chris Haynes,Yahoo! Sports,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2018,COY
Kurt Helin,NBCSports.com,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2018,COY
Erik Horne,The Oklahoman,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2018,COY
Lisa Hsu,Tencent,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Popovich, Gregg (San Antonio Spurs)",2018,COY
Cassidy Hubbarth,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2018,COY
Kelly Iko,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2018,COY
Frank Isola,Sirius Radio/The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2018,COY
Mark Jackson,ESPN,"Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2018,COY
K.C. Johnson,Chicago Tribune,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2018,COY
Mark Jones,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2018,COY
