Voter,Affiliation,1st,2nd,3rd,Year,Award
Scott Agness,The Athletic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Vucevic, Nikola (ORL)",2018,MIP
Marv Albert,Turner Sports,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Sam Amick,The Athletic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Jason Anderson,Sacramento Bee,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Greg Anthony,Turner Sports,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Harrell, Montrezl (LAC)",2018,MIP
Kevin Arnovitz,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Bogdanovic, Bojan (IND)",2018,MIP
Steve Aschburner,NBA.com,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Hield, Buddy (SAC)",2018,MIP
Jon Barry,ESPN,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Michelle Beadle,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Sabonis, Domantas (IND)",2018,MIP
Rod Beard,Detroit News,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Howard Beck,Bleacher Report,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
A. Blakely,NBC Sports Boston,"Siakam, Pascal (TOR)","Hield, Buddy (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Stefan Bondy,New York Daily News,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Tim Bontemps,ESPN,"Siakam, Pascal (TOR)","Antetokounmpo, Giannis (MIL)","Vucevic, Nikola (ORL)",2018,MIP
Mike Breen,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Hield, Buddy (SAC)",2018,MIP
Chris Broussard,Fox Sports,"Siakam, Pascal (TOR)","Harrell, Montrezl (LAC)","Fox, De'Aaron (SAC)",2018,MIP
Ric Bucher,Bleacher Report,"Siakam, Pascal (TOR)","Collins, John (ATL)","Richardson, Josh (MIA)",2018,MIP
Doris Burke,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Dave Campbell,Associated Press,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Anthony Chiang,Miami Herald,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
David Cobb,Memphis Commercial Appeal,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Collins, John (ATL)",2018,MIP
Sean Deveney,The Sporting News,"Siakam, Pascal (TOR)","Vucevic, Nikola (ORL)","Sabonis, Domantas (IND)",2018,MIP
Amin Elhassan,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Harrell, Montrezl (LAC)",2018,MIP
Paul Flannery,SB Nation,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Reid Forgrave,CBSSports.com,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","George, Paul (OKC)",2018,MIP
Joe Freeman,The Oregonian,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Rosalyn Gold‐Onwude,Turner,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Vince Goodwill,Yahoo! Sports,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","LaVine, Zach (CHI)",2018,MIP
Michael Grange,Rogers Sportsnet,"Siakam, Pascal (TOR)","Sabonis, Domantas (IND)","Antetokounmpo, Giannis (MIL)",2018,MIP
Jared Greenberg,Turner,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Hield, Buddy (SAC)",2018,MIP
Will Guillory,The Athletic,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Bogdanovic, Bojan (IND)",2018,MIP
Kevin Harlan,Turner Sports,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Zach Harper,The Athletic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Hield, Buddy (SAC)",2018,MIP
Chris Haynes,Yahoo! Sports,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Dinwiddie, Spencer (BKN)",2018,MIP
Kurt Helin,NBCSports.com,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Erik Horne,The Oklahoman,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Grant, Jerami (OKC)",2018,MIP
Lisa Hsu,Tencent,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Cassidy Hubbarth,ESPN,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Kelly Iko,The Athletic,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)",2018,MIP
Frank Isola,Sirius Radio/The Athletic,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)",2018,MIP
Mark Jackson,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","White, Derrick (SAS)",2018,MIP
K.C. Johnson,Chicago Tribune,"Siakam, Pascal (TOR)","Hield, Buddy (SAC)","Russell, D'Angelo (BKN)",2018,MIP
Mark Jones,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Sabonis, Domantas (IND)",2018,MIP
Fred Katz,The Athletic,"Siakam, Pascal (TOR)","Gallinari, Danilo (LAC)","Russell, D'Angelo (BKN)",2018,MIP
Marc Kestecher,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Nira Khurana,Perform,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)",2018,MIP
Kennegh Lau,BesTV,"Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)","Collins, John (ATL)",2018,MIP
Kristen Ledlow,Turner Sports,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Brian Lewis,New York Post,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Massimo Pegna,La Gazzetta dello Sport,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Sabonis, Domantas (IND)",2018,MIP
Zach Lowe,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Tim MacMahon,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Beasley, Malik (DEN)",2018,MIP
Jackie MacMullan,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Brian Mahoney,Associated Press,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)",2018,MIP
Rob Mahoney,Sports Illustrated,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Vucevic, Nikola (ORL)",2018,MIP
Maxime Malet,L'Equipe,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Hield, Buddy (SAC)",2018,MIP
Chris Mannix,Sports Illustrated,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Vucevic, Nikola (ORL)",2018,MIP
Diego Martinez,Reforma,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","George, Paul (OKC)",2018,MIP
Jeff McDonald,San Antonio Express‐News,"Siakam, Pascal (TOR)","Harrell, Montrezl (LAC)","Forbes, Bryn (SAS)",2018,MIP
Dave McMenamin,ESPN,"Rose, Derrick (MIN)","Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)",2018,MIP
Reggie Miller,Turner Sports,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Sabonis, Domantas (IND)",2018,MIP
Rachel Nichols,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Kevin O'Connor,The Ringer,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Fox, De'Aaron (SAC)",2018,MIP
Bill Oram,The Athletic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Vucevic, Nikola (ORL)",2018,MIP
Dave Pasch,ESPN,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Collins, John (ATL)",2018,MIP
Kevin Pelton,ESPN,"Fox, De'Aaron (SAC)","Vucevic, Nikola (ORL)","Russell, D'Angelo (BKN)",2018,MIP
Keith Pompey,Philadelphia Inqurier and Daily News,"Russell, D'Angelo (BKN)","Siakam, Pascal (TOR)","Fox, De'Aaron (SAC)",2018,MIP
Duane Rankin,Arizona Republic,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Bryant, Thomas (WAS)",2018,MIP
Tim Reynolds,Associated Press,"Siakam, Pascal (TOR)","Russell, D'Angelo (BKN)","Vucevic, Nikola (ORL)",2018,MIP
