Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Ailene Voisin,Sacramento Bee,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Smith Jr., Dennis (DAL)",2018,All-Rookie
Amin Elhassan,ESPN.com,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Collins, John (ATL)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)",2018,All-Rookie
Andrew Sharp,Sports Illustrated,"Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Kuzma, Kyle (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)",2018,All-Rookie
Anthony Slater,The Athletic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Allen, Jarrett (BKN)","Fox, De'Aaron (SAC)","Smith Jr., Dennis (DAL)",2018,All-Rookie
Ben Golliver,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Ball, Lonzo (LAL)","Allen, Jarrett (BKN)",2018,All-Rookie
Bill Oram,Orange County Register,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)",2018,All-Rookie
Bill Simmons,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Teodosic, Milos (LAC)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)",2018,All-Rookie
Brent Barry,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Anunoby, OG (TOR)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Collins, John (ATL)",2018,All-Rookie
Brett Dawson,The Oklahoman,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)",2018,All-Rookie
Brian Mahoney,Associated Press,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Brooks, Dillon (MEM)","Collins, John (ATL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)",2018,All-Rookie
