Voter,Affiliation,1st,2nd,3rd,Year,Award
Ailene Voisin,Sacramento Bee,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Amin Elhassan,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)",2018,ROY
Andrew Sharp,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Anthony Slater,The Athletic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Ben Golliver,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Bill Oram,Orange County Register,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Bill Simmons,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Brent Barry,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Brett Dawson,The Oklahoman,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Brian Mahoney,Associated Press,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Brian Windhorst,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Cassidy Hubbarth,ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Chase Hughes,NBCSportsWashington.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Chris Broussard,Fox Sports,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Chris Haynes,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Chris Mannix,Yahoo!,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Chris Webber,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Clifton Brown,Indianapolis Star,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Connor Letourneau,San Francisco Chronicle,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Dave McMenamin,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
David Aldridge,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Davide Chinellato,La Gazzetta dello Sport,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Dennis Scott,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Diego Cabrera,Periódico Reforma,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)",2018,ROY
Doris Burke,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Eddie Sefko,Dallas Morning News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Smith Jr., Dennis (DAL)",2018,ROY
Elliott Teaford,Southern California News Group,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Ernie Johnson,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Flavio Tranquillo,Sky Italia,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)",2018,ROY
Frank Isola,Sirius Radio/New York Daily News,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Gina Mizell,Denver Post,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Greg Anthony,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Greg Logan,Newsday,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Howard Beck,Bleacher Report,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jackie MacMullan,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jalen Rose,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jared Greenberg,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jason Jones,Sacramento Bee,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Kuzma, Kyle (LAL)",2018,ROY
Jason Lloyd,The Athletic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jason Quick,NBC Sports Northwest,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Jeff McDonald,San Antonio Express‐News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jeff Zillgitt,USA Today,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jerry Zgoda,Minneapolis Star Tribune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Joe Cowley,Chicago Sun‐Times,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
John Schuhmann,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Jon Barry,ESPN Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Justin Termine,Sirius Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
KC Johnson,Chicago Tribune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Keith Pompey,Philadelphia Inquirer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Kevin Arnovitz,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Kevin Harlan,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Kevin O'Connor,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Kevin Pelton,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Kristen Ledlow,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Kurt Helin,NBCSports.com,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Lee Jenkins,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Lisa Yang,Tencent,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Manny Navarro,Miami Herald,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Marc Berman,New York Post,"Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Simmons, Ben (PHI)",2018,ROY
Marc Kestecher,ESPN Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Mark Jackson,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Marv Albert,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Matt Velazquez,Milwaukee Journal Sentinel,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Matt Winer,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Michael Grange,Rogers Sportsnet,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Michael Wilbon,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Michelle Beadle,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Mike Breen,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Mike Ganter,Toronto Sun,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Fans ,N/A,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Nira Khurana,Excelsior,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Paul Flannery,SB Nation,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Rachel Nichols,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Ramona Shelburne,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Reggie Miller,Turner,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Ric Bucher,Bleacher Report,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Richard Walker,Gaston Gazette,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Rob Mahoney,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Rod Beard,Detroit News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Ron Tillery,Memphis Commercial Appeal,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Rosalyn Gold‐Onwude,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Royce Young,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Sam Amick,USA Today,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Scott Bordow,Arizona Republic,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Sean Deveney,The Sporting News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Sekou Smith,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Sherrod Blakely,NBC Sports Boston,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Stefan Bondy,New York Daily News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Steve Aschburner,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Steve Smith,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Thales Soares,Globoesporte.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Tim Reynolds,Associated Press,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
TJ Manotoc,ABS‐CBN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Tony Jones,Salt Lake Tribune,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2018,ROY
Vincent Goodwill,NBC Sports Chicago,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Weiping Zhang,CCTV,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Will Guillory,New Orleans Times‐Picayune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Xavier Vaution,BeIn Sport,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Yoko Miyaji,Sports Graphic Number,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
Zach Lowe,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)",2018,ROY
