Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Ailene Voisin,Sacramento Bee,"Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (HOU)","Green, Draymond (GSW)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Richardson, Josh (MIA)",2018,All-Defensive
Amin Elhassan,ESPN.com,"Davis, Anthony (NOP)","Mbah a Moute, Luc (HOU)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)","Tucker, PJ (HOU)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Butler, Jimmy (MIN)",2018,All-Defensive
Andrew Sharp,Sports Illustrated,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Butler, Jimmy (MIN)","Mbah a Moute, Luc (HOU)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Richardson, Josh (MIA)",2018,All-Defensive
Anthony Slater,The Athletic,"Horford, Al (BOS)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Holiday, Jrue (NOP)","Covington, Robert (PHI)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Paul, Chris (HOU)",2018,All-Defensive
Ben Golliver,Sports Illustrated,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defensive
Bill Oram,Orange County Register,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Oladipo, Victor (IND)","Antetokounmpo, Giannis (MIL)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Richardson, Josh (MIA)",2018,All-Defensive
Bill Simmons,The Ringer,"Green, Draymond (GSW)","George, Paul (OKC)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Murray, Dejounte (SAS)","Mbah a Moute, Luc (HOU)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Brown, Jaylen (BOS)",2018,All-Defensive
Brent Barry,Turner,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (HOU)","Davis, Anthony (NOP)","George, Paul (OKC)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Smart, Marcus (BOS)",2018,All-Defensive
Brett Dawson,The Oklahoman,"Davis, Anthony (NOP)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Horford, Al (BOS)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Richardson, Josh (MIA)",2018,All-Defensive
Brian Mahoney,Associated Press,"Davis, Anthony (NOP)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Rubio, Ricky (UTA)","Oladipo, Victor (IND)","Covington, Robert (PHI)","George, Paul (OKC)","Embiid, Joel (PHI)","Richardson, Josh (MIA)","Holiday, Jrue (NOP)",2018,All-Defensive
Brian Windhorst,ESPN.com,"Horford, Al (BOS)","George, Paul (OKC)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)",2018,All-Defensive
Cassidy Hubbarth,ESPN,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Covington, Robert (PHI)","George, Paul (OKC)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Paul, Chris (HOU)",2018,All-Defensive
Chase Hughes,NBCSportsWashington.com,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defensive
Chris Broussard,Fox Sports,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Oladipo, Victor (IND)","George, Paul (OKC)","Covington, Robert (PHI)","Horford, Al (BOS)","Murray, Dejounte (SAS)","Butler, Jimmy (MIN)",2018,All-Defensive
Chris Haynes,ESPN.com,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Brown, Jaylen (BOS)","Thompson, Klay (GSW)","Covington, Robert (PHI)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Simmons, Ben (PHI)","Harris, Gary (DEN)",2018,All-Defensive
Chris Mannix,Yahoo!,"Davis, Anthony (NOP)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Green, Draymond (GSW)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Richardson, Josh (MIA)",2018,All-Defensive
Chris Webber,Turner,"Davis, Anthony (NOP)","George, Paul (OKC)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Paul, Chris (HOU)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Simmons, Ben (PHI)","Oladipo, Victor (IND)",2018,All-Defensive
