Voter,Affiliation,1st,2nd,3rd,Year
Molly Sullivan,Comcast SportsNet,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Neil Funk,Comcast SportsNet Chicago,"Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston","Hornacek, Jeff -- Phoenix",2014
Nick Friedell,ESPNChicago.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Paul Coro,Arizona Republic,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Pete Pranica,Fox Sports Tennessee,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Phil Chenier,Comcast SportsNet Mid-Atlantic,"Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee","Rivers, Doc -- L.A. Clippers",2014
Ralph Lawler,Prime Ticket,"Stevens, Brad -- Boston","Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta",2014
Ramona Shelburne,ESPN.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Ric Bucher,Bleacher Report,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Rick Bonnell,Charlotte Observer,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Ron Boone,ROOT Sports,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Snyder, Quin -- Utah",2014
Ron Tillery,Memphis Commercial Appeal,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Popovich, Gregg -- San Antonio",2014
Sage Steele,ABC Sports,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Sam Amick,USA Today,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","McHale, Kevin -- Houston",2014
Sam Smith,Bulls.com,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Sean Deveney,The Sporting News,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Sean Grande,WEEI Radio,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Stevens, Brad -- Boston",2014
Sean Kelley,WWL 105.3 FM,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Steve Albert,Fox Sports Arizona,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Steve Aschburner,NBA.com,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","McHale, Kevin -- Houston",2014
