Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Green, Draymond -- GS",2014,MIP
Al Iannazzone,Newsday,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2014,MIP
Alan Horton,WCCO 830-AM,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014,MIP
Andre Aldridge,Fox Sports South,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2014,MIP
Anthony Slater,Oklahoman,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2014,MIP
Antonio Harvey,Fox Sports Radio/620AM,"Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL","Leonard, Meyers -- POR",2014,MIP
Bill Land,Fox Sports Southwest,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2014,MIP
Bill Oram,Orange County Register,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2014,MIP
Bill Reiter,Foxsports.com,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Gobert, Rudy -- UTA",2014,MIP
Bill Schoening,WOAI Radio,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014,MIP
Bill Simmons,Grantland,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI",2014,MIP
Bill Wennington,WMVP AM 1000,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2014,MIP
Bill Worrell,Root Sports Southwest,"Green, Draymond -- GS","Motiejunas, Donatas -- HOU","Butler, Jimmy -- CHI",2014,MIP
Bob Cooney,Philadelphia Daily News,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2014,MIP
Bob Rathbun,Fox Sports South,"Gobert, Rudy -- UTA","Schroder, Dennis -- ATL","Green, Draymond -- GS",2014,MIP
Brian Davis,Fox Sports Oklahoma,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL",2014,MIP
Brian Sieman,The Beast 980 AM FM,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Whiteside, Hassan -- MIA",2014,MIP
Brian Windhorst,ESPN.com,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Irving, Kyrie -- CLE",2014,MIP
Candace Buckner,Indianapolis Star,"Thompson, Klay -- GS","Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC",2014,MIP
Cedric Maxwell,WEEI Radio,"Carroll, DeMarre -- ATL","Crowder, Jae -- BOS","Irving, Kyrie -- CLE",2014,MIP
Charles Gardner,Milwaukee Journal Sentinel,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2014,MIP
