Voter,Affiliation,1st,2nd,3rd,Year
Aaron Falk,Salt Lake Tribune,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Adrian Chavarria,KEYH 850 AM,"Wiggins, Andrew -- MIN","Payton, Elfrid -- ORL","Mirotic, Nikola -- CHI",2014
Alan Horton,WCCO 830-AM,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Andre Aldridge,Fox Sports South,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Andy Vasquez,Bergen Record,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Anthony Slater,Oklahoman,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Antonio Harvey,Fox Sports Radio/620AM,"Wiggins, Andrew -- MIN","Payton, Elfrid -- ORL","Mirotic, Nikola -- CHI",2014
Bill Land,Fox Sports Southwest,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Bill Oram,Orange County Register,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Bill Reiter,Foxsports.com,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Bill Schoening,WOAI Radio,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Bill Simmons,Grantland,"Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Mirotic, Nikola -- CHI",2014
Bill Wennington,WMVP AM 1000,"Mirotic, Nikola -- CHI","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI",2014
Bill Worrell,Root Sports Southwest,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Bob Fitzgerald,Comcast SportsNet Bay Area,"Mirotic, Nikola -- CHI","Wiggins, Andrew -- MIN","Smart, Marcus -- BOS",2014
Bob Rathbun,Fox Sports South,"Mirotic, Nikola -- CHI","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI",2014
Brian Sieman,The Beast 980 AM FM,"Wiggins, Andrew -- MIN","Payton, Elfrid -- ORL","Mirotic, Nikola -- CHI",2014
Brian Windhorst,ESPN.com,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Candace Buckner,Indianapolis Star,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Cedric Maxwell,WEEI Radio,"Mirotic, Nikola -- CHI","Smart, Marcus -- BOS","Wiggins, Andrew -- MIN",2014
Charles Gardner,Milwaukee Journal Sentinel,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Chris Broussard,ESPN The Magazine,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Chris Carrino,WFAN (660),"Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL",2014
Chris Dempsey,Denver Post,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Chris Denari,Fox Sports Indiana,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Mirotic, Nikola -- CHI",2014
Chris Mannix,Sports Illustrated,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Chris Sheridan,Sheridanhoops.com,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Chuck Cooperstein,ESPN 103.3,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Chuck Swirsky,WMVP AM 1000,"Mirotic, Nikola -- CHI","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI",2014
Dan Woike,Orange County Register,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Dante Marchitelli,Fox Sports Florida,"Payton, Elfrid -- ORL","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI",2014
Darnell Mayberry,Oklahoman,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Dave Johnson,106.7 The Fan,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
David Aldridge,TNT,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
David Mayo,Mlive Media Group,"Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Mirotic, Nikola -- CHI",2014
Dell Curry,Fox Sports Carolinas/SportSouth,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Dennis Neumann,ESPN 580 AM,"Payton, Elfrid -- ORL","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI",2014
Diamond Leung,Bay Area News Group/Contra Costa Times,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Doris Burke,ESPN,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Doug Smith,The Toronto Star,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Dwain Price,Ft. Worth Star Telegam,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Eric Hasseltine,92.9 FM ESPN/680 AM,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI",2014
Eric Smith,TSN 1050/Sportsnet 590 The Fan,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
Ernie Johnson,TNT,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL",2014
