Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Aaron Falk,Salt Lake Tribune,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO","Westbrook, Russell -- OKC",2014,MVP
Alan Horton,WCCO 830-AM,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Paul, Chris -- LAC","Davis, Anthony -- NO",2014,MVP
Andre Aldridge,Fox Sports South,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2014,MVP
Bill Land,Fox Sports Southwest,"James, LeBron -- CLE","Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2014,MVP
Bill Oram,Orange County Register,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO","Westbrook, Russell -- OKC",2014,MVP
Bill Reiter,Foxsports.com,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO","Paul, Chris -- LAC",2014,MVP
Bill Schoening,WOAI Radio,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO","Westbrook, Russell -- OKC",2014,MVP
Bill Simmons,Grantland,"Curry, Stephen -- GS","Harden, James -- HOU","Paul, Chris -- LAC","Davis, Anthony -- NO","Westbrook, Russell -- OKC",2014,MVP
Bill Wennington,WMVP AM 1000,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO","Westbrook, Russell -- OKC",2014,MVP
Bob Cooney,Philadelphia Daily News,"Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","Paul, Chris -- LAC","James, LeBron -- CLE",2014,MVP
Bob Rathbun,Fox Sports South,"Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","James, LeBron -- CLE","Thompson, Klay -- GS",2014,MVP
Brian Davis,Fox Sports Oklahoma,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO",2014,MVP
Brian Windhorst,ESPN.com,"Harden, James -- HOU","Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2014,MVP
Candace Buckner,Indianapolis Star,"Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","Davis, Anthony -- NO","James, LeBron -- CLE",2014,MVP
Charles Gardner,Milwaukee Journal Sentinel,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Davis, Anthony -- NO","Paul, Chris -- LAC",2014,MVP
Chris Broussard,ESPN The Magazine,"Harden, James -- HOU","Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2014,MVP
Chris Carrino,WFAN (660),"Curry, Stephen -- GS","James, LeBron -- CLE","Harden, James -- HOU","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2014,MVP
