Voter,Affiliation,1st,2nd,3rd,Year
Jody Genessy,Deseret News,"Gobert, Rudy -- UTA","Leonard, Kawhi -- SA","Green, Draymond -- GS",2014
Joel Meyers,Fox Sports New Orleans,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2014
John Denton,OrlandoMagic.com,"Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2014
John Reid,New Orleans Times Picayune,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Green, Draymond -- GS",2014
Jon Barry,ESPN Radio,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Jonathan Feigen,Houston Chronicle,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS",2014
Jose Paneda,WAQI Radio,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Leonard, Kawhi -- SA",2014
Ken Berger,CBSSports.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS",2014
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Duncan, Tim -- SA",2014
Kevin Calabro,ESPN Radio,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Kevin Ding,Bleacher Report,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA",2014
Lang Whitaker,NBA.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Marc Spears,Yahoo! Sports,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Marc Stein,ESPN.com,"Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Bogut, Andrew -- GS",2014
Marc Zumoff,Comcast SportsNet,"Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Leonard, Kawhi -- SA",2014
Mark Boyle,107.5/1070 The Fan,"Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA",2014
Mark Medina,LA Daily News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Marv Albert,TNT,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Matt Pinto,WWLS / 98.1,"Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Davis, Anthony -- NO",2014
Matt Winer,NBA TV,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Michael Smith,Prime Ticket,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Leonard, Kawhi -- SA",2014
Michael Wilbon,ESPN,"Jordan, DeAndre -- LAC","Green, Draymond -- GS","Leonard, Kawhi -- SA",2014
Mike Breen,ABC Sports,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Mike Crispino,MSG Network,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Leonard, Kawhi -- SA",2014
Mike Fratello,TNT,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Mike Gorman,Comcast SportsNet,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Davis, Anthony -- NO",2014
Mike Monroe,San Antonio Express-News,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2014
Mike Rice,Comcast SportsNet NW,"Jordan, DeAndre -- LAC","Kidd-Gilchrist, Michael -- CHA","Paul, Chris -- LAC",2014
Mike Tirico,ESPN,"Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2014
Molly Sullivan,Comcast SportsNet,"Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2014
Neil Funk,Comcast SportsNet Chicago,"Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Butler, Jimmy -- CHI",2014
Paul Coro,Arizona Republic,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Pete Pranica,Fox Sports Tennessee,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM",2014
Peter Botte,New York Daily News,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Phil Chenier,Comcast SportsNet Mid-Atlantic,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Noah, Joakim -- CHI",2014
Ralph Lawler,Prime Ticket,"Jordan, DeAndre -- LAC","Green, Draymond -- GS","Leonard, Kawhi -- SA",2014
Ramona Shelburne,ESPN.com,"Jordan, DeAndre -- LAC","Green, Draymond -- GS","Leonard, Kawhi -- SA",2014
Ric Bucher,Bleacher Report,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM",2014
Rick Bonnell,Charlotte Observer,"Leonard, Kawhi -- SA","Gasol, Marc -- MEM","Jordan, DeAndre -- LAC",2014
Rod Boone,Newsday,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Allen, Tony -- MEM",2014
Ron Boone,ROOT Sports,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Bogut, Andrew -- GS",2014
Ron Tillery,Memphis Commercial Appeal,"Allen, Tony -- MEM","Duncan, Tim -- SA","James, LeBron -- CLE",2014
Rusty Simmons,San Francisco Chronicle,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Davis, Anthony -- NO",2014
Sage Steele,ABC Sports,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM",2014
Sam Amick,USA Today,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2014
Sam Smith,Bulls.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Allen, Tony -- MEM",2014
Scott Lauer,WFNZ-610AM,"Gobert, Rudy -- UTA","Jordan, DeAndre -- LAC","Kidd-Gilchrist, Michael -- CHA",2014
Sean Deveney,The Sporting News,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC",2014
Sean Kelley,WWL 105.3 FM,"Jordan, DeAndre -- LAC","Bogut, Andrew -- GS","Leonard, Kawhi -- SA",2014
Sherman Hamilton,NBA TV Canada,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA",2014
Sherrod Blakely,Comcast SportsNet,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Kidd-Gilchrist, Michael -- CHA",2014
Stacey King,Comcast SportsNet Chicago,"Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Beverley, Patrick -- HOU",2014
Stefan Bondy,New York Daily News,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Davis, Anthony -- NO",2014
Steve Aschburner,NBA.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC",2014
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Jordan, DeAndre -- LAC","Green, Draymond -- GS","Duncan, Tim -- SA",2014
Steve Holman,Hawks Radio Network,"Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Green, Draymond -- GS",2014
Steve Martin,Fox Sports Carolinas/SportSouth,"Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Gobert, Rudy -- UTA",2014
Ted Davis,WTMJ Radio,"Jordan, DeAndre -- LAC","Davis, Anthony -- NO","Leonard, Kawhi -- SA",2014
Tim Bontemps,New York Post,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA",2014
Tim Roye,KNBR Radio,"Green, Draymond -- GS","Bogut, Andrew -- GS","Allen, Tony -- MEM",2014
Tom Heinsohn,Comcast SportsNet,"Davis, Anthony -- NO","Allen, Tony -- MEM","Jordan, DeAndre -- LAC",2014
Vince Ellis,Detroit Free Press,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA",2014
Zach Lowe,Grantland,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS",2014
