Voter,Affiliation,1st,2nd,3rd,Year
Gary Washburn,Boston Globe,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Brewer, Corey -- HOU",2014
George Blaha,WMGC / Fox Sports Detroit,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Gibson, Taj -- CHI",2014
Glenn Consor,106.7 The Fan,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Kaman, Chris -- POR",2014
Grant Napear,Comcast SportsNet-CA,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Howard Beck,Bleacher Report,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Mirotic, Nikola -- CHI",2014
Hubie Brown,ESPN,"Mirotic, Nikola -- CHI","Williams, Lou -- TOR","Thomas, Isaiah -- BOS",2014
Ian Eagle,YES Network,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Ira Winderman,South Florida Sun Sentinel,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Speights, Marreese -- GS",2014
Israel Guttierez,ESPN.com,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Speights, Marreese -- GS",2014
JA Adande,ESPN.com,"Williams, Lou -- TOR","Thompson, Tristan -- CLE","Crawford, Jamal -- LAC",2014
Jabari Young,Comcast SportsNet NW,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Thomas, Isaiah -- BOS",2014
Jason Jones,Sacramento Bee,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Jason Kosmicki,Altitude Radio Network,"Brewer, Corey -- HOU","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Jason Lloyd,Akron Beacon Journal,"Crawford, Jamal -- LAC","Williams, Lou -- TOR","Thompson, Tristan -- CLE",2014
Jeff McDonald,San Antonio Express-News,"Thomas, Isaiah -- BOS","Speights, Marreese -- GS","Williams, Lou -- TOR",2014
Jeff Turner,Fox Sports Florida,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Speights, Marreese -- GS",2014
Jeff Zillgitt,USA Today,"Iguodala, Andre -- GS","Thomas, Isaiah -- BOS","Thompson, Tristan -- CLE",2014
Jerry Zgoda,Minneapolis Star Tribune,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Jim Paschke,Fox Sports Wisconsin,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Iguodala, Andre -- GS",2014
Jim Petersen,Fox Sports North,"Williams, Lou -- TOR","Thompson, Tristan -- CLE","Crawford, Jamal -- LAC",2014
Jody Genessy,Deseret News,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Joe Freeman,The Oregonian,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Mirotic, Nikola -- CHI",2014
Joel Meyers,Fox Sports New Orleans,"Williams, Lou -- TOR","Crawford, Jamal -- LAC","Morrow, Anthony -- OKC",2014
John Denton,OrlandoMagic.com,"Williams, Lou -- TOR","Mirotic, Nikola -- CHI","Brewer, Corey -- HOU",2014
John Reid,New Orleans Times Picayune,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Jon Barry,ESPN Radio,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Crawford, Jamal -- LAC",2014
Jonathan Feigen,Houston Chronicle,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Iguodala, Andre -- GS",2014
KC Johnson,Chicago Tribune,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thomas, Isaiah -- BOS",2014
Keith Pompey,Philadelphia Inquirer,"Williams, Lou -- TOR","Thomas, Isaiah -- BOS","Gibson, Taj -- CHI",2014
Ken Berger,CBSSports.com,"Thomas, Isaiah -- BOS","Williams, Lou -- TOR","Crawford, Jamal -- LAC",2014
Kevin Arnovitz,ESPN.com,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thompson, Tristan -- CLE",2014
Kevin Calabro,ESPN Radio,"Williams, Lou -- TOR","Iguodala, Andre -- GS","Thompson, Tristan -- CLE",2014
