Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Jamal Collier,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","George, Paul (LAC)",2021,All-Defensive
Antoni Daimiel,Movistar+,"Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Caldwell-Pope, Kentavious (LAL)","Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Brooks, Dillon (MEM)","Holiday, Jrue (MIL)",2021,All-Defensive
Dan Devine,The Ringer,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Anunoby, OG (TOR)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
Chris Fedor,Cleveland.com,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","George, Paul (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defensive
Joe Freeman,The Oregonian,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Turner, Myles (IND)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defensive
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)",2021,All-Defensive
Kyle Goon,Southern California News Group,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Caruso, Alex (LAL)","Smart, Marcus (BOS)",2021,All-Defensive
Michael Grange,Rogers Sportsnet,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Butler, Jimmy (MIA)",2021,All-Defensive
Jared Greenberg,Turner,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
Kevin Harlan,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defensive
Zach Harper,The Athletic,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)",2021,All-Defensive
Max Haupt,DPA,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Wood, Christian (HOU)","Theis, Daniel (CHI)","Turner, Myles (IND)","Paul, Chris (PHX)","Schroder, Dennis (LAL)",2021,All-Defensive
Chris Haynes,Yahoo! Sports,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Covington, Robert (POR)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defensive
Kurt Helin,NBCSports.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Thybulle, Matisse (PHI)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defensive
Adam Himmelsbach,Boston Globe,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defensive
Lisa Hsu,Tencent,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Smart, Marcus (BOS)",2021,All-Defensive
Cassidy Hubbarth,ESPN,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
Kelly Iko,The Athletic,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defensive
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Brooks, Dillon (MEM)",2021,All-Defensive
Mark Jackson,ESPN,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Turner, Myles (IND)","Bridges, Mikal (PHX)","Paul, Chris (PHX)",2021,All-Defensive
Ernie Johnson,Turner,"Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)",2021,All-Defensive
Jason Jones,The Athletic,"Green, Draymond (GSW)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Brown, Jaylen (BOS)","Antetokounmpo, Giannis (MIL)","Wiggins, Andrew (GSW)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","George, Paul (LAC)",2021,All-Defensive
Tony Jones,The Athletic,"Green, Draymond (GSW)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","O'Neale, Royce (UTA)","Capela, Clint (ATL)","Schroder, Dennis (LAL)","Green, Danny (PHI)",2021,All-Defensive
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)",2021,All-Defensive
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defensive
