Voter,Affiliation,1st,2nd,3rd,Year,Award
Marc Kestecher,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Chris Kirschner,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Scott Kushner,New Orleans Times Picayune,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Brian Lewis,New York Post,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Zach Lowe,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Jackie MacMullan,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Embiid, Joel (PHI)",2021,DPOY
Brian Mahoney,Associated Press,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Rob Mahoney,The Ringer,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Turner, Myles (IND)",2021,DPOY
Chris Mannix,Sports Illustrated,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Diego Martinez,Reforma,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Jeff McDonald,San Antonio Express-News,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Dave McMenamin,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Mark Medina,USA Today,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Yoko Miyaji,Sports Graphic Number,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Joe Mussatto,The Oklahoman,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Rachel Nichols,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Kevin O'Connor,The Ringer,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
James Owczarski,Milwaukee Journal Sentinel,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Candace Parker,Turner,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Roy Parry,Orlando Sentinel,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Dave Pasch,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Kevin Pelton,ESPN,"Gobert, Rudy (UTA)","Capela, Clint (ATL)","Turner, Myles (IND)",2021,DPOY
Keith Pompey,Philadelphia Inquirer and Daily News,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)",2021,DPOY
Shaun Powell,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Duane Rankin,Arizona Republic,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Green, Draymond (GSW)",2021,DPOY
Bill Reiter,CBSSports.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Tim Reynolds,Associated Press,"Gobert, Rudy (UTA)","Adebayo, Bam (MIA)","Simmons, Ben (PHI)",2021,DPOY
Melissa Rohlin,Fox Sports,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Taylor Rooks,Bleacher Report,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Jalen Rose,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Simone Sandri,Gazzetta.it,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Omari Sankofa,Detroit Free Press,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
John Schuhmann,NBA.com,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Guillermo Schutz,Televisa (TUDN),"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Dennis Scott,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Ramona Shelburne,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Bill Simmons,The Ringer,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
