Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Doncic, Luka (DAL)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Young, Trae (ATL)",2021,All-NBA
Scott Kushner,New Orleans Times Picayune,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","George, Paul (LAC)","Capela, Clint (ATL)","Booker, Devin (PHX)","Mitchell, Donovan (UTA)",2021,All-NBA
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (BKN)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Durant, Kevin (BKN)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Paul, Chris (PHX)",2021,All-NBA
Zach Lowe,ESPN,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Westbrook, Russell (WAS)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)",2021,All-NBA
Rob Mahoney,The Ringer,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Harden, James (BKN)","George, Paul (LAC)",2021,All-NBA
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2021,All-NBA
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Irving, Kyrie (BKN)","Leonard, Kawhi (LAC)","Booker, Devin (PHX)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Lillard, Damian (POR)",2021,All-NBA
Jeff McDonald,San Antonio Express-News,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Capela, Clint (ATL)","Beal, Bradley (WAS)","Harden, James (BKN)",2021,All-NBA
