"Voter","Affiliation","1st","2nd","3rd","4th","5th","Year","Award"
"Harper, Zach","The Athletic","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Helin, Kurt","NBCSports.com","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Herring, Chris","Sports Illustrated","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Hill, Drew","Daily Memphian","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Himmelsbach, Adam","Boston Globe","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)","2022","MVP"
"Hsu, Lisa","Tencent","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Hubbarth, Cassidy","ESPN","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Iko, Kelly","The Athletic","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Morant, Ja (MEM)","2022","MVP"
"Isola, Frank","Sirius Radio","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)","2022","MVP"
"Jackson, Mark","ESPN","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Johnson, Ernie","Turner","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Morant, Ja (MEM)","2022","MVP"
"Johnson, K.C.","NBC Sports Chicago","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)","2022","MVP"
"Kestecher, Marc","ESPN","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","2022","MVP"
"Kirschner, Chris","The Athletic","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Koreen, Eric","The Athletic","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Kushner, Scott","New Orleans Times-Picayune","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Tatum, Jayson (BOS)","2022","MVP"
"Lowe, Zach","ESPN","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)","2022","MVP"
"Mahoney, Brian","Associated Press","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)","2022","MVP"
"Mahoney, Rob","The Ringer","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Mannix, Chris","Sports Illustrated","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","2022","MVP"
"Martinez, Diego","Reforma","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Paul, Chris (PHX)","2022","MVP"
