Voter,Affiliation,1st,2nd,3rd,Year,Award
David Aldridge,The Athletic,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
Sam Amick,The Athletic,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
Jason Anderson,Sacramento Bee,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
Greg Anthony,Turner,"Cunningham, Cade (DET)","Barnes, Scottie (TOR)","Mobley, Evan (CLE)",2022,ROY
Kevin Arnovitz,ESPN,"Barnes, Scottie (TOR)","Mobley, Evan (CLE)","Cunningham, Cade (DET)",2022,ROY
Steve Aschburner,NBA.com,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
Antoine Bancharel,L'Equipe / Canal+,"Barnes, Scottie (TOR)","Mobley, Evan (CLE)","Cunningham, Cade (DET)",2022,ROY
Renjun Bao,Tencent,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
Howard Beck,Sports Illustrated,"Barnes, Scottie (TOR)","Mobley, Evan (CLE)","Cunningham, Cade (DET)",2022,ROY
Tim Bontemps,ESPN,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
Rod Boone,Charlotte Observer,"Cunningham, Cade (DET)","Green, Jalen (HOU)","Barnes, Scottie (TOR)",2022,ROY
Chris Broussard,Fox Sports,"Barnes, Scottie (TOR)","Mobley, Evan (CLE)","Cunningham, Cade (DET)",2022,ROY
Ric Bucher,FS1,"Barnes, Scottie (TOR)","Mobley, Evan (CLE)","Cunningham, Cade (DET)",2022,ROY
Doris Burke,ESPN,"Barnes, Scottie (TOR)","Mobley, Evan (CLE)","Cunningham, Cade (DET)",2022,ROY
Callie Caplan,Dallas Morning News,"Mobley, Evan (CLE)","Barnes, Scottie (TOR)","Cunningham, Cade (DET)",2022,ROY
