Voter,Affiliation,1st,2nd,3rd,Year,Award
David Aldridge,The Athletic,"Herro, Tyler (MIA)","Kennard, Luke (LAC)","Johnson, Cameron (PHX)",2022,6th
Sam Amick,The Athletic,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Jason Anderson,Sacramento Bee,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Greg Anthony,Turner,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Kevin Arnovitz,ESPN,"Love, Kevin (CLE)","Johnson, Cameron (PHX)","Herro, Tyler (MIA)",2022,6th
Steve Aschburner,NBA.com,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Antoine Bancharel,L'Equipe / Canal+,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Kennard, Luke (LAC)",2022,6th
Renjun Bao,Tencent,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Howard Beck,Sports Illustrated,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Tim Bontemps,ESPN,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Jones, Tyus (MEM)",2022,6th
Rod Boone,Charlotte Observer,"Herro, Tyler (MIA)","Clarkson, Jordan (UTA)","Johnson, Cameron (PHX)",2022,6th
Chris Broussard,Fox Sports,"Herro, Tyler (MIA)","Clarkson, Jordan (UTA)","Love, Kevin (CLE)",2022,6th
Ric Bucher,FS1,"Johnson, Cameron (PHX)","Herro, Tyler (MIA)","Love, Kevin (CLE)",2022,6th
Doris Burke,ESPN,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Kennard, Luke (LAC)",2022,6th
Callie Caplan,Dallas Morning News,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Shams Charania,The Athletic/Stadium,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Anthony Chiang,Miami Herald,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Davide Chinellato,La Gazzetta dello Sport,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Antoni Daimiel,Movistar+,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Dan Devine,The Ringer,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
James Edwards,The Athletic,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Chris Fedor,Clevleand.com,"Love, Kevin (CLE)","Herro, Tyler (MIA)","Johnson, Cameron (PHX)",2022,6th
Vince Goodwill,Yahoo! Sports,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Michael Grange,Rogers Sportsnet,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Clarke, Brandon (MEM)",2022,6th
Jared Greenberg,Turner,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Mike Greenberg,ESPN,"Herro, Tyler (MIA)","Clarkson, Jordan (UTA)","Love, Kevin (CLE)",2022,6th
Kevin Harlan,Turner,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Zach Harper,The Athletic,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Kennard, Luke (LAC)",2022,6th
Kurt Helin,NBCSports.com,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Chris Herring,Sports Illustrated,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Drew Hill,Daily Memphian,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Adam Himmelsbach,,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Lisa Hsu,Tencent,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Cassidy Hubbarth,ESPN,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Kleber, Maxi (DAL)",2022,6th
Kelly Iko,The Athletic,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Frank Isola,Sirius Radio,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Mark Jackson,ESPN,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Ernie Johnson,Turner,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
K.C. Johnson,NBC Sports Chicago,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Marc Kestecher,ESPN,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Clarkson, Jordan (UTA)",2022,6th
Chris Kirschner,The Athletic,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Kennard, Luke (LAC)",2022,6th
Eric Koreen,The Athletic,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Scott Kushner,New Orleans Times-Picayune,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Clarkson, Jordan (UTA)",2022,6th
Zach Lowe,ESPN,"Herro, Tyler (MIA)","Bogdanovic, Bogdan (ATL)","Johnson, Cameron (PHX)",2022,6th
Brian Mahoney,Associated Press,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Rob Mahoney,The Ringer,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Chris Mannix,Sports Illustrated,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Kennard, Luke (LAC)",2022,6th
Diego Martinez,Reforma,"Herro, Tyler (MIA)","Harrell, Montrezl (CHA)","Love, Kevin (CLE)",2022,6th
Jeff McDonald,San Antonio Express-News,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Dave McMenamin,ESPN,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Mark Medina,NBA.com,"Herro, Tyler (MIA)","Kennard, Luke (LAC)","Love, Kevin (CLE)",2022,6th
Yoko Miyaji,Sports Graphic Number,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Joe Mussatto,The Oklahoman,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Eric Nehm,The Athletic,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Kevin O'Connor,The Ringer,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Bill Oram,The Athletic,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Dave Pasch,ESPN,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Melton, De'Anthony (MEM)",2022,6th
Kevin Pelton,ESPN,"Love, Kevin (CLE)","Johnson, Cameron (PHX)","Herro, Tyler (MIA)",2022,6th
Kendrick Perkins,ESPN,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Clarkson, Jordan (UTA)",2022,6th
Michael Pina,Sports Illustrated,"Herro, Tyler (MIA)","Bogdanovic, Bogdan (ATL)","Kennard, Luke (LAC)",2022,6th
Keith Pompey,Philadelphia Inquirer,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Steve Popper,Newsday,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Shaun Powell,NBA.com,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Khobi Price,Orlando Sentinel,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Jason Quick,The Athletic,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Duane Rankin,Arizona Republic,"Herro, Tyler (MIA)","Clarkson, Jordan (UTA)","Johnson, Cameron (PHX)",2022,6th
Stephanie Ready,Turner,"Herro, Tyler (MIA)","Clarkson, Jordan (UTA)","Bogdanovic, Bogdan (ATL)",2022,6th
Bill Reiter,CBSSports.com,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Remi Reverchon,BeIN Sport (France),"Herro, Tyler (MIA)","Love, Kevin (CLE)","Oubre Jr., Kelly (CHA)",2022,6th
Tim Reynolds,Associated Press,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Clarkson, Jordan (UTA)",2022,6th
Josh Robbins,The Athletic,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Melissa Rohlin,Fox Sports,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Taylor Rooks,Bleacher Report,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Jalen Rose,ESPN,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Clarkson, Jordan (UTA)",2022,6th
Ryen Russillo,The Ringer,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
John Schuhmann,NBA.com,"Herro, Tyler (MIA)","Bogdanovic, Bogdan (ATL)","Quickley, Immanuel (NYK)",2022,6th
Guillermo Schutz,Televisa (TUDN),"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Dennis Scott,Turner,"Herro, Tyler (MIA)","Clarkson, Jordan (UTA)","Love, Kevin (CLE)",2022,6th
Ramona Shelburne,ESPN,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Bill Simmons,The Ringer,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Mike Singer,Denver Post,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Melton, De'Anthony (MEM)",2022,6th
Anthony Slater,The Athletic,"Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Love, Kevin (CLE)",2022,6th
Doug Smith,The Toronto Star,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
Stephen Smith,ESPN,"Herro, Tyler (MIA)","Love, Kevin (CLE)","Johnson, Cameron (PHX)",2022,6th
