Voter,Affiliation,1st,2nd,3rd,Year,Award
92 ,"Vardon, Joe",The Athletic,"Morant, Ja (MEM)","Garland, Darius (CLE)","Bridges, Miles (CHA)",2022
93 ,"Walden, Eric",Salt Lake Tribune,"Murray, Dejounte (SAS)","Morant, Ja (MEM)","Bane, Desmond (MEM)",2022
94 ,"Washburn, Gary",Boston Globe,"Poole, Jordan (GSW)","Simons, Anfernee (POR)","Strus, Max (MIA)",2022
95 ,"Wilbon, Michael",ESPN,"Bane, Desmond (MEM)","Maxey, Tyrese (PHI)","Murray, Dejounte (SAS)",2022
96 ,"Windhorst, Brian",ESPN,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
97 ,"Winer, Matt",Turner,"Murray, Dejounte (SAS)","Poole, Jordan (GSW)","Garland, Darius (CLE)",2022
98 ,"Winfield, Kristian",New York Daily News,"Morant, Ja (MEM)","Garland, Darius (CLE)","Poole, Jordan (GSW)",2022
99 ,"Wright, Michael C.",NBA.com,"Morant, Ja (MEM)","Garland, Darius (CLE)","Murray, Dejounte (SAS)",2022
100 ,"Youngmisuk, Ohm",ESPN,"Murray, Dejounte (SAS)","Morant, Ja (MEM)","Garland, Darius (CLE)",2022
101 ,"Zillgitt, Jeff",USA Today,"Murray, Dejounte (SAS)","Morant, Ja (MEM)","Bridges, Miles (CHA)",2022
