Voter,Affiliation,1st,2nd,3rd,Year,Award
David Aldridge,The Athletic,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Kidd, Jason (DAL)",2022,COY
Sam Amick,The Athletic,"Williams, Monty (PHX)","Spoelstra, Erik (MIA)","Jenkins, Taylor (MEM)",2022,COY
Jason Anderson,Sacramento Bee,"Williams, Monty (PHX)","Spoelstra, Erik (MIA)","Jenkins, Taylor (MEM)",2022,COY
Greg Anthony,Turner,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Kidd, Jason (DAL)",2022,COY
Kevin Arnovitz,ESPN,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Spoelstra, Erik (MIA)",2022,COY
Steve Aschburner,NBA.com,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Bickerstaff, J.B. (CLE)",2022,COY
Antoine Bancharel,L'Equipe / Canal+,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Udoka, Ime (BOS)",2022,COY
Renjun Bao,Tencent,"Williams, Monty (PHX)","Udoka, Ime (BOS)","Jenkins, Taylor (MEM)",2022,COY
Howard Beck,Sports Illustrated,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Lue, Tyronn (LAC)",2022,COY
Tim Bontemps,ESPN,"Williams, Monty (PHX)","Spoelstra, Erik (MIA)","Bickerstaff, J.B. (CLE)",2022,COY
Rod Boone,Charlotte Observer,"Spoelstra, Erik (MIA)","Williams, Monty (PHX)","Nurse, Nick (TOR)",2022,COY
Chris Broussard,Fox Sports,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Udoka, Ime (BOS)",2022,COY
Ric Bucher,FS1,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Bickerstaff, J.B. (CLE)",2022,COY
Doris Burke,ESPN,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Udoka, Ime (BOS)",2022,COY
Callie Caplan,Dallas Morning News,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Kidd, Jason (DAL)",2022,COY
Shams Charania,The Athletic/Stadium,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Udoka, Ime (BOS)",2022,COY
Anthony Chiang,Miami Herald,"Williams, Monty (PHX)","Spoelstra, Erik (MIA)","Jenkins, Taylor (MEM)",2022,COY
Davide Chinellato,La Gazzetta dello Sport,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Udoka, Ime (BOS)",2022,COY
Antoni Daimiel,Movistar+,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Lue, Tyronn (LAC)",2022,COY
Dan Devine,The Ringer,"Williams, Monty (PHX)","Bickerstaff, J.B. (CLE)","Jenkins, Taylor (MEM)",2022,COY
James Edwards,The Athletic,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Udoka, Ime (BOS)",2022,COY
Chris Fedor,Clevleand.com,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Bickerstaff, J.B. (CLE)",2022,COY
Vince Goodwill,Yahoo! Sports,"Williams, Monty (PHX)","Spoelstra, Erik (MIA)","Udoka, Ime (BOS)",2022,COY
Michael Grange,Rogers Sportsnet,"Williams, Monty (PHX)","Nurse, Nick (TOR)","Jenkins, Taylor (MEM)",2022,COY
Jared Greenberg,Turner,"Jenkins, Taylor (MEM)","Spoelstra, Erik (MIA)","Williams, Monty (PHX)",2022,COY
Mike Greenberg,ESPN,"Jenkins, Taylor (MEM)","Udoka, Ime (BOS)","Williams, Monty (PHX)",2022,COY
Kevin Harlan,Turner,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Finch, Chris (MIN)",2022,COY
Zach Harper,The Athletic,"Williams, Monty (PHX)","Spoelstra, Erik (MIA)","Jenkins, Taylor (MEM)",2022,COY
Kurt Helin,NBCSports.com,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Bickerstaff, J.B. (CLE)",2022,COY
Chris Herring,Sports Illustrated,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Udoka, Ime (BOS)",2022,COY
Drew Hill,Daily Memphian,"Jenkins, Taylor (MEM)","Williams, Monty (PHX)","Bickerstaff, J.B. (CLE)",2022,COY
Adam Himmelsbach,,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Udoka, Ime (BOS)",2022,COY
Lisa Hsu,Tencent,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Finch, Chris (MIN)",2022,COY
Cassidy Hubbarth,ESPN,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Spoelstra, Erik (MIA)",2022,COY
Kelly Iko,The Athletic,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Spoelstra, Erik (MIA)",2022,COY
Frank Isola,Sirius Radio,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Kidd, Jason (DAL)",2022,COY
Mark Jackson,ESPN,"Williams, Monty (PHX)","Jenkins, Taylor (MEM)","Udoka, Ime (BOS)",2022,COY
