Voter,Affiliation,1st,2nd,3rd,Year,Award
David Aldridge,The Athletic,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)",2022,DPOY
Sam Amick,The Athletic,"Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)",2022,DPOY
Jason Anderson,Sacramento Bee,"Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)",2022,DPOY
Greg Anthony,Turner,"Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)",2022,DPOY
Kevin Arnovitz,ESPN,"Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)",2022,DPOY
Steve Aschburner,NBA.com,"Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2022,DPOY
Antoine Bancharel,L'Equipe / Canal+,"Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)",2022,DPOY
Renjun Bao,Tencent,"Gobert, Rudy (UTA)","Jackson Jr., Jaren (MEM)","Smart, Marcus (BOS)",2022,DPOY
Howard Beck,Sports Illustrated,"Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)",2022,DPOY
Tim Bontemps,ESPN,"Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2022,DPOY
Rod Boone,Charlotte Observer,"Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Chris Broussard,Fox Sports,"Smart, Marcus (BOS)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2022,DPOY
Ric Bucher,FS1,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2022,DPOY
Doris Burke,ESPN,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2022,DPOY
Callie Caplan,Dallas Morning News,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2022,DPOY
Shams Charania,The Athletic/Stadium,"Smart, Marcus (BOS)","Gobert, Rudy (UTA)","Jackson Jr., Jaren (MEM)",2022,DPOY
Anthony Chiang,Miami Herald,"Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Jackson Jr., Jaren (MEM)",2022,DPOY
Davide Chinellato,La Gazzetta dello Sport,"Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)",2022,DPOY
Antoni Daimiel,Movistar+,"Williams III, Robert (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)",2022,DPOY
Dan Devine,The Ringer,"Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)",2022,DPOY
James Edwards,The Athletic,"Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2022,DPOY
Chris Fedor,Clevleand.com,"Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)",2022,DPOY
Vince Goodwill,Yahoo! Sports,"Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)",2022,DPOY
