Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Jason Quick,The Athletic,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2019
Duane Rankin,Arizona Republic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Harden, James (HOU)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Lillard, Damian (POR)",2019
Remi Reverchon,BeIN Sport (France),"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","VanVleet, Fred (TOR)","Smart, Marcus (BOS)",2019
Tim Reynolds,Associated Press,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)","George, Paul (LAC)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019
Josh Robbins,The Athletic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2019
Simone Sandri,La Gazzetta Dello Sport,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2019
Chris Sasaki,Rakuten,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Lopez, Brook (MIL)","Lowry, Kyle (TOR)","Dunn, Kris (CHI)",2019
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)",2019
Dennis Scott,Turner,"Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Turner, Myles (IND)","Allen, Jarrett (BKN)","VanVleet, Fred (TOR)","Smart, Marcus (BOS)",2019
Ramona Shelburne,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)",2019
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2019
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Smart, Marcus (BOS)",2019
