Voter,Affiliation,1st,2nd,3rd,Year,Award
Scott Agness,The Athletic,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Marv Albert,Turner Sports,"Doncic, Luka (DAL)","Young, Trae (ATL)","Sexton, Collin (CLE)",2019,ROY
Sam Amick,The Athletic,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Jason Anderson,Sacramento Bee,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Greg Anthony,Turner Sports,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Kevin Arnovitz,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Steve Aschburner,NBA.com,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Jon Barry,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Sexton, Collin (CLE)",2019,ROY
Michelle Beadle,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Rod Beard,Detroit News,"Doncic, Luka (DAL)","Young, Trae (ATL)","Jackson Jr., Jaren (MEM)",2019,ROY
Howard Beck,Bleacher Report,"Doncic, Luka (DAL)","Young, Trae (ATL)","Jackson Jr., Jaren (MEM)",2019,ROY
A. Blakely,NBC Sports Boston,"Young, Trae (ATL)","Doncic, Luka (DAL)","Sexton, Collin (CLE)",2019,ROY
Stefan Bondy,New York Daily News,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Tim Bontemps,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Mike Breen,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Chris Broussard,Fox Sports,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Ric Bucher,Bleacher Report,"Doncic, Luka (DAL)","Young, Trae (ATL)","Gilgeous-Alexander, Shai (LAC)",2019,ROY
Doris Burke,ESPN,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Dave Campbell,Associated Press,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
Anthony Chiang,Miami Herald,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)",2019,ROY
